poly_modulus_degree,num_coeff_moduli,total_coeff_bits,projection_dim,scale_bits,coeff_bits_str,batch_time_ms_mean,batch_time_ms_std,batch_time_ms_median,batch_time_ms_min,batch_time_ms_max,n_samples
4096,3,100,32,20,"40,20,40",173.67095938971033,14.37909573317281,172.66515002120286,144.31510004214942,209.11669987253845,32
4096,3,100,64,20,"40,20,40",200.60902187833562,17.953619016831652,197.89505004882812,169.72970007918775,239.64580008760095,32
4096,3,100,128,20,"40,20,40",228.7103968919837,18.504013476030977,227.76439995504916,190.94599992968142,264.73150006495416,32
4096,3,100,192,20,"40,20,40",419.407271889213,26.289011806140778,418.8830500934273,367.86410002969205,480.2170000039041,32
4096,3,100,256,20,"40,20,40",253.33225625217892,20.13626266559605,250.75265008490533,221.2301001418382,296.1531998589635,32
4096,3,109,32,30,"50,30,29",172.90795484047024,15.02989798645258,174.41640002653003,144.97520006261766,196.93619990721345,31
4096,3,109,64,30,"50,30,29",205.7116562500596,16.752991882929102,205.3297000238672,167.32089989818633,239.31950004771352,32
4096,3,109,128,30,"50,30,29",237.5706774107511,16.797159746210188,234.58079993724823,208.5301000624895,272.6888000033796,31
4096,3,109,192,30,"50,30,29",428.1496406183578,22.594848013843162,426.33539985399693,388.63419997505844,483.3998999092728,32
4096,3,109,256,30,"50,30,29",271.61170625913655,15.89021325790485,274.1768999258056,232.72490012459457,311.5882999263704,32
4096,3,109,32,30,"40,30,39",187.10757812368684,17.870996685452862,186.88555003609508,153.92199996858835,226.55869997106493,32
4096,3,109,64,30,"40,30,39",213.6764531242079,15.286774373055298,212.68079988658428,178.40819992125034,251.68500002473593,32
4096,3,109,128,30,"40,30,39",237.89226252847584,18.13087490635231,232.41705005057156,208.43710005283356,286.0962001141161,32
4096,3,109,192,30,"40,30,39",423.43440937111154,26.0353860895061,420.359650044702,377.12069996632636,484.87519985064864,32
4096,3,109,256,30,"40,30,39",267.5981781212613,22.181317465344588,272.07554993219674,215.3429000172764,321.567399892956,32
8192,4,200,32,40,"60,40,40,60",765.0306750001619,35.150315983911185,755.5695000337437,705.6145998649299,844.5405999664217,32
8192,4,200,64,40,"60,40,40,60",876.1427906210884,40.95171774797815,876.8476999830455,787.8340999595821,974.75800011307,32
8192,4,200,128,40,"60,40,40,60",987.9308624804253,40.758519616591165,997.0072499709204,915.08479998447,1053.2619999721646,32
8192,4,200,192,40,"60,40,40,60",1774.1750093919109,47.843501143793624,1778.0314999399707,1666.1288000177592,1861.6771998349577,32
8192,4,200,256,40,"60,40,40,60",1104.7350718945381,38.87676638662952,1102.3098500445485,1050.3616000059992,1189.1788002103567,32
8192,5,170,32,30,"40,30,30,30,40",1231.9443156156922,40.491001964336235,1232.479399885051,1150.1249999273568,1331.4611001405865,32
8192,5,170,64,30,"40,30,30,30,40",1415.773106236884,32.717353270174414,1415.3037499636412,1356.2765999231488,1499.7725998982787,32
8192,5,170,128,30,"40,30,30,30,40",3272.4083937573596,1295.101722265374,3392.905149841681,1601.932599907741,4765.602400060743,32
8192,5,170,192,30,"40,30,30,30,40",3148.8513593940297,236.52411514480605,3162.1036999858916,2670.3568000812083,3452.47790007852,32
8192,5,170,256,30,"40,30,30,30,40",2143.8686343608424,51.433143587120426,2137.467349995859,2061.1316999420524,2234.6123000606894,32
8192,5,190,32,30,"50,30,30,30,50",1438.4008656197693,67.4286762379722,1444.0248000901192,1263.5510999243706,1572.7685999590904,32
8192,5,190,64,30,"50,30,30,30,50",1668.4629093724652,45.54179978418243,1673.4554000431672,1572.0979999750853,1758.7657999247313,32
8192,5,190,128,30,"50,30,30,30,50",1887.843459386204,54.86887271088251,1898.3103500213474,1773.7503999378532,1991.1344000138342,32
8192,5,190,192,30,"50,30,30,30,50",3479.625168729399,84.61825518871083,3475.317799835466,3324.6351000852883,3649.514300050214,32
8192,5,190,256,30,"50,30,30,30,50",2150.4997624870157,50.13305358489691,2144.0557000460103,2028.7969000637531,2224.936699960381,32
8192,5,210,32,30,"60,30,30,30,60",1431.3621000110288,44.347830645273746,1423.4646999975666,1340.2905000839382,1520.088299876079,32
8192,5,210,64,30,"60,30,30,30,60",1667.3302124909242,50.60787839332987,1677.078349981457,1555.2608000580221,1744.8887000791728,32
8192,5,210,128,30,"60,30,30,30,60",1926.141440628271,44.63813673347016,1928.2061000121757,1822.0836999826133,2002.5309999473393,32
8192,5,210,192,30,"60,30,30,30,60",3480.5210906561115,83.0795962347232,3490.1136500993744,3280.8789000846446,3618.7160999979824,32
8192,5,210,256,30,"60,30,30,30,60",2136.1908531180234,70.0766867280345,2138.477350003086,2003.190099960193,2281.2164002098143,32
16384,5,240,32,40,"60,40,40,40,60",3376.9717843679246,77.69138235949514,3389.007500023581,3205.3161999210715,3519.8482000268996,32
16384,5,240,64,40,"60,40,40,40,60",3836.5322750178166,147.839716436599,3847.95474994462,3561.657299986109,4094.848700100556,32
16384,5,240,128,40,"60,40,40,40,60",4395.556962495903,115.8716729939026,4420.079950010404,4061.8892000056803,4545.821900013834,32
16384,5,240,192,40,"60,40,40,40,60",8232.88256250089,153.68179352290707,8221.604350022972,7970.511899795383,8589.261899935082,32
16384,5,240,256,40,"60,40,40,40,60",4978.599815636699,80.8387563256645,4985.125700011849,4791.185500100255,5143.63109995611,32
16384,6,280,32,40,"60,40,40,40,40,60",4821.420928135922,96.768289237167,4802.591300103813,4684.745900100097,5074.923700187355,32
16384,6,280,64,40,"60,40,40,40,40,60",5508.311809404404,124.14733012842896,5501.240700017661,5288.015600061044,5773.750900058076,32
16384,6,280,128,40,"60,40,40,40,40,60",6357.3222531194915,130.33471667132252,6373.19449998904,6108.952100155875,6582.563699921593,32
16384,6,280,192,40,"60,40,40,40,40,60",11748.570579152632,132.7444638974971,11741.06445000507,11389.247799990699,11969.906100071967,24
16384,6,280,256,40,"60,40,40,40,40,60",7121.330381218286,117.85678945632262,7123.6849499400705,6890.611299779266,7323.484200052917,32
16384,6,320,32,50,"60,50,50,50,50,60",4816.217849984241,84.16050386315435,4805.404849932529,4613.44309989363,5024.121799971908,32
16384,6,320,64,50,"60,50,50,50,50,60",5564.637250012311,82.6969048343039,5575.152149889618,5380.475099897012,5729.954599868506,32
16384,6,320,128,50,"60,50,50,50,50,60",6408.03838436841,88.31213800654521,6404.33670009952,6161.62300016731,6559.266199823469,32
16384,6,320,192,50,"60,50,50,50,50,60",11871.130912496787,187.20119760668342,11876.058600028045,11442.958700004965,12212.507800199091,24
16384,6,320,256,50,"60,50,50,50,50,60",7113.587865620502,147.61372246603702,7107.719750027172,6853.375899838284,7447.544499998912,32
16384,8,360,32,40,"60,40,40,40,40,40,40,60",8632.559637531813,309.8623867640409,8492.24790011067,8223.723700037226,9249.23299998045,32
16384,8,360,64,40,"60,40,40,40,40,40,40,60",9767.529478158394,156.27679838266369,9806.00720003713,9418.177100131288,10026.415300089866,32
16384,8,360,128,40,"60,40,40,40,40,40,40,60",11021.581021872407,189.0643004255468,11025.170249980874,10625.39210007526,11449.919000035152,32
16384,8,360,192,40,"60,40,40,40,40,40,40,60",20748.571331205312,179.04409435900337,20768.900899915025,20298.591600032523,20966.919800033793,16
16384,8,360,256,40,"60,40,40,40,40,40,40,60",12538.920570824606,159.19207577853476,12522.929099970497,12176.159100141376,12988.225199980661,24
