N,log_N,num_coeff_moduli,total_coeff_bits,first_coeff_bit,last_coeff_bit,scale_bits,scale_to_total_ratio,proj_dim,batch_size,vector_packing_ratio,chain_name,batch_time_ms_mean,batch_time_ms_std
4096,12,3,100,40,40,20,0.2,32,16,0.015625,3-mod_balanced,24.691999967520434,0.2900973938413578
4096,12,3,100,40,40,20,0.2,32,64,0.015625,3-mod_balanced,105.55406667602558,6.117141658359569
4096,12,3,100,40,40,20,0.2,32,256,0.015625,3-mod_balanced,404.2981332944085,6.566870000599232
4096,12,3,100,40,40,20,0.2,64,16,0.03125,3-mod_balanced,28.97583336258928,0.35310865252230916
4096,12,3,100,40,40,20,0.2,64,64,0.03125,3-mod_balanced,113.94939998475213,0.5400056850636996
4096,12,3,100,40,40,20,0.2,64,256,0.03125,3-mod_balanced,458.7678333433966,8.84831398327283
4096,12,3,100,40,40,20,0.2,128,16,0.0625,3-mod_balanced,32.946399956320725,1.9680535987429282
4096,12,3,100,40,40,20,0.2,128,64,0.0625,3-mod_balanced,135.49186669600508,5.799909338220592
4096,12,3,100,40,40,20,0.2,128,256,0.0625,3-mod_balanced,511.7814333643764,1.3655723393421075
4096,12,3,100,40,40,20,0.2,192,16,0.09375,3-mod_balanced,57.18950003695985,0.906946889267482
4096,12,3,100,40,40,20,0.2,192,64,0.09375,3-mod_balanced,257.8698000094543,15.76364186375936
4096,12,3,100,40,40,20,0.2,192,256,0.09375,3-mod_balanced,926.1878998950124,8.417702445873754
4096,12,3,100,40,40,20,0.2,256,16,0.125,3-mod_balanced,35.900899985184274,0.5858041835785575
4096,12,3,100,40,40,20,0.2,256,64,0.125,3-mod_balanced,144.7911667637527,1.2905314822234755
4096,12,3,100,40,40,20,0.2,256,256,0.125,3-mod_balanced,572.8629000174502,3.655567453940923
4096,12,3,100,40,40,20,0.2,320,16,0.15625,3-mod_balanced,61.99273335126539,0.9729553751108477
4096,12,3,100,40,40,20,0.2,320,64,0.15625,3-mod_balanced,243.0026001141717,1.4664162687246216
4096,12,3,100,40,40,20,0.2,320,256,0.15625,3-mod_balanced,990.4760666346798,17.12722973173287
8192,13,3,100,40,40,20,0.2,32,16,0.0078125,3-mod_balanced,51.969466575731836,0.7595201310810975
8192,13,3,100,40,40,20,0.2,32,64,0.0078125,3-mod_balanced,233.83320006541908,15.376985331869166
8192,13,3,100,40,40,20,0.2,32,256,0.0078125,3-mod_balanced,887.3701000120491,45.25615173072668
8192,13,3,100,40,40,20,0.2,64,16,0.015625,3-mod_balanced,59.74596661205093,1.2492961195517813
8192,13,3,100,40,40,20,0.2,64,64,0.015625,3-mod_balanced,237.9384667146951,2.1434896116951423
8192,13,3,100,40,40,20,0.2,64,256,0.015625,3-mod_balanced,995.1593667113533,62.91842399494839
8192,13,3,100,40,40,20,0.2,128,16,0.03125,3-mod_balanced,68.27443333653112,0.7752306112410483
8192,13,3,100,40,40,20,0.2,128,64,0.03125,3-mod_balanced,266.6090334144731,1.4328102173015658
8192,13,3,100,40,40,20,0.2,128,256,0.03125,3-mod_balanced,1084.0937999698024,7.383779674827663
8192,13,3,100,40,40,20,0.2,192,16,0.046875,3-mod_balanced,120.2367334626615,0.4039432195810339
8192,13,3,100,40,40,20,0.2,192,64,0.046875,3-mod_balanced,511.63656668116647,32.90860755589008
8192,13,3,100,40,40,20,0.2,192,256,0.046875,3-mod_balanced,1997.906933305785,45.820765910477654
8192,13,3,100,40,40,20,0.2,256,16,0.0625,3-mod_balanced,76.03116667208572,2.075142097904623
8192,13,3,100,40,40,20,0.2,256,64,0.0625,3-mod_balanced,301.6487666560958,3.6011845715098194
8192,13,3,100,40,40,20,0.2,256,256,0.0625,3-mod_balanced,1213.9770333499957,28.197773129952477
8192,13,3,100,40,40,20,0.2,320,16,0.078125,3-mod_balanced,128.2219666366776,0.6844627800110147
8192,13,3,100,40,40,20,0.2,320,64,0.078125,3-mod_balanced,527.4231000803411,25.486038736863986
8192,13,3,100,40,40,20,0.2,320,256,0.078125,3-mod_balanced,2045.977966627106,23.764954716512452
8192,13,3,130,50,50,30,0.23076923076923078,32,16,0.0078125,3-mod_higher,51.743666641414165,0.42045005474776426
8192,13,3,130,50,50,30,0.23076923076923078,32,64,0.0078125,3-mod_higher,207.38116659534475,0.7476668874811297
8192,13,3,130,50,50,30,0.23076923076923078,32,256,0.0078125,3-mod_higher,851.7036333214492,24.120287002508856
8192,13,3,130,50,50,30,0.23076923076923078,64,16,0.015625,3-mod_higher,74.20553329090278,3.082824441879523
8192,13,3,130,50,50,30,0.23076923076923078,64,64,0.015625,3-mod_higher,253.77083336934447,16.533894356946867
8192,13,3,130,50,50,30,0.23076923076923078,64,256,0.015625,3-mod_higher,954.8172332967321,8.08397354883185
8192,13,3,130,50,50,30,0.23076923076923078,128,16,0.03125,3-mod_higher,68.43119999393821,0.340497291669245
8192,13,3,130,50,50,30,0.23076923076923078,128,64,0.03125,3-mod_higher,265.5710999388248,1.9760764292988202
8192,13,3,130,50,50,30,0.23076923076923078,128,256,0.03125,3-mod_higher,1067.8946333161246,2.117831977054819
8192,13,3,130,50,50,30,0.23076923076923078,192,16,0.046875,3-mod_higher,119.84509998001158,0.9188635735983057
8192,13,3,130,50,50,30,0.23076923076923078,192,64,0.046875,3-mod_higher,479.47469997840625,5.376399672826505
8192,13,3,130,50,50,30,0.23076923076923078,192,256,0.046875,3-mod_higher,1912.6674999327709,15.954654323069
8192,13,3,130,50,50,30,0.23076923076923078,256,16,0.0625,3-mod_higher,75.46786669020851,1.0486661097284948
8192,13,3,130,50,50,30,0.23076923076923078,256,64,0.0625,3-mod_higher,299.1357333182047,1.699715272224116
8192,13,3,130,50,50,30,0.23076923076923078,256,256,0.0625,3-mod_higher,1212.7622666303068,24.101809064022508
8192,13,3,130,50,50,30,0.23076923076923078,320,16,0.078125,3-mod_higher,136.74749992787838,10.153190495186594
8192,13,3,130,50,50,30,0.23076923076923078,320,64,0.078125,3-mod_higher,507.0399666049828,6.567316521087505
8192,13,3,130,50,50,30,0.23076923076923078,320,256,0.078125,3-mod_higher,2022.7525666511308,0.6323241672125036
8192,13,4,120,40,40,20,0.16666666666666666,32,16,0.0078125,4-mod_ml,96.57500001291434,0.634333999530331
8192,13,4,120,40,40,20,0.16666666666666666,32,64,0.0078125,4-mod_ml,395.4484666076799,4.82502258287138
8192,13,4,120,40,40,20,0.16666666666666666,32,256,0.0078125,4-mod_ml,1559.4666666972141,10.36614675180463
8192,13,4,120,40,40,20,0.16666666666666666,64,16,0.015625,4-mod_ml,111.49149993434548,1.6098012072039083
8192,13,4,120,40,40,20,0.16666666666666666,64,64,0.015625,4-mod_ml,444.50166666259366,1.5865767851040558
8192,13,4,120,40,40,20,0.16666666666666666,64,256,0.015625,4-mod_ml,1789.7910999599844,6.542938538004048
8192,13,4,120,40,40,20,0.16666666666666666,128,16,0.03125,4-mod_ml,125.47589993725221,1.7414606707884146
8192,13,4,120,40,40,20,0.16666666666666666,128,64,0.03125,4-mod_ml,503.7528999770681,1.6775527430681803
8192,13,4,120,40,40,20,0.16666666666666666,128,256,0.03125,4-mod_ml,2030.5255999943863,10.983639580937982
8192,13,4,120,40,40,20,0.16666666666666666,192,16,0.046875,4-mod_ml,230.0921999849379,0.5268506357688815
