N,chain,chain_name,scale_bits,log_Q,max_err_mean,max_err_std,predicted_acc1_deg,predicted_latency_ms
4096,"[40, 20, 40]",3-mod_balanced,20,100,0.7858252358697215,0.027839777965030857,0.47630537456371114,54.22464540188548
8192,"[40, 20, 40]",3-mod_balanced,20,100,2.3008135948185893,0.0539786774906045,0.5,126.40412214802595
8192,"[50, 30, 50]",3-mod_higher,30,130,0.00476934410251551,1.5324122803572894e-05,0.2731041652753735,116.16245578563432
8192,"[40, 20, 20, 40]",4-mod_ml,20,120,2.900116484622049,0.010131018516733752,0.5,236.97710870043804
8192,"[50, 30, 30, 50]",4-mod_balanced,30,160,0.0006806489939669272,4.847019753738429e-05,0.19560118396052323,245.30903824296087
8192,"[60, 40, 60]",3-mod_high,40,160,2.1645772433354082e-07,5.185223961651991e-08,0.0,113.85277134857485
16384,"[40, 20, 40]",3-mod_balanced,20,100,9.597922583337448,0.09228521722284799,0.5,247.88418944879362
16384,"[50, 30, 50]",3-mod_higher,30,130,0.0036885728803727224,7.862841893349124e-05,0.2628747241879269,251.5120588635394
16384,"[40, 20, 20, 40]",4-mod_ml,20,120,9.187182562024297,0.08035754605192956,0.5,490.8996821228628
16384,"[50, 30, 30, 50]",4-mod_balanced,30,160,0.0006073523480810972,7.364500577537789e-05,0.19106554839584386,485.8075679811562
16384,"[60, 40, 60]",3-mod_high,40,160,7.587481119455952e-06,2.2615869839903378e-07,0.0,253.2374329138972
