cells,m,method,n_seeds,n_targets_per_seed,mean_anchors_in_target_cell,cosine_mean,cosine_ci_low,cosine_ci_high,r1_mean,r1_ci_low,r1_ci_high,r10_mean,r10_ci_low,r10_ci_high,coverage_any_mean,coverage_any_ci_low,coverage_any_ci_high,coverage_full_rank_mean,coverage_full_rank_ci_low,coverage_full_rank_ci_high
1,4,no_attack,3,256,4.0,-0.0059497628455588225,-0.010211254120131713,-0.0013885826673928543,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,4,ols_pinv,3,256,4.0,0.12019224734357081,0.1162542434238823,0.12500244321995393,0.006510416666666667,0.0,0.015006510416666636,0.046875,0.018229166666666668,0.07291666666666667,1.0,1.0,1.0,0.0,0.0,0.0
1,4,oracle_true_residual,3,256,4.0,1.0000000079849027,1.0000000021850415,1.0000000135824427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,4,polar_ols,3,256,4.0,0.021178767028117246,0.01656127733802501,0.026505991436697136,0.0,0.0,0.0,0.0013020833333333333,0.0,0.005208333333333333,1.0,1.0,1.0,0.0,0.0,0.0
1,4,procrustes_partial,3,256,4.0,0.015403204595901483,0.009131726118643971,0.02189177502811884,0.0,0.0,0.0,0.005208333333333333,0.0,0.013020833333333334,1.0,1.0,1.0,0.0,0.0,0.0
1,4,ridge_alpha0,3,256,4.0,0.12019224734357081,0.1163116920473121,0.12466421493097628,0.006510416666666667,0.0,0.015625,0.046875,0.01754557291666667,0.07360026041666663,1.0,1.0,1.0,0.0,0.0,0.0
1,4,ridge_cv,3,256,4.0,0.12019224728540784,0.11590791703445336,0.12439223400044534,0.006510416666666667,0.0,0.014322916666666666,0.046875,0.018229166666666668,0.07682291666666667,1.0,1.0,1.0,0.0,0.0,0.0
1,8,no_attack,3,256,8.0,-0.0059497628455588225,-0.010092770931578244,-0.0014737239793166904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,8,ols_pinv,3,256,8.0,0.17385237394637207,0.170489425648215,0.17685880431109308,0.07421875,0.05078125,0.09765625,0.2552083333333333,0.22395833333333334,0.2877604166666667,1.0,1.0,1.0,0.0,0.0,0.0
1,8,oracle_true_residual,3,256,8.0,1.0000000079849027,1.0000000029800318,1.000000013205293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
