cells,seed,m,cell,n_targets,n_anchors,rank,ridge_selected_relative_alpha,ridge_selected_absolute_alpha,ridge_cv_losses_json
1,11,32,0,256,32,32,1e-08,1.0595082753631907e-09,"{""0.0"": 0.0003279906380596519, ""1e-08"": 0.0003279906375798478, ""1e-06"": 0.00032799063944845465, ""0.0001"": 0.000327990640360917, ""0.01"": 0.0003279959696372211, ""1.0"": 0.00033845502028089576, ""100.0"": 0.0003667704014147272}"
1,11,64,0,256,64,64,1e-06,1.0752680589521819e-07,"{""0.0"": 0.0002959103307947486, ""1e-08"": 0.0002959103309213459, ""1e-06"": 0.0002959103269458309, ""0.0001"": 0.0002959103314154222, ""0.01"": 0.00029592357094610443, ""1.0"": 0.0003164549996564002, ""100.0"": 0.00036960146512537897}"
1,11,128,0,256,128,128,1e-06,1.0781763502735902e-07,"{""0.0"": 0.0002235895579948972, ""1e-08"": 0.00022358955785511828, ""1e-06"": 0.00022358955735751456, ""0.0001"": 0.00022358956492310236, ""0.01"": 0.00022365460833965415, ""1.0"": 0.00027412159176059853, ""100.0"": 0.00037598680866235786}"
1,11,256,0,256,256,256,1e-06,1.0979017027972265e-07,"{""0.0"": 8.733158145302673e-05, ""1e-08"": 8.733158233090661e-05, ""1e-06"": 8.73315801787671e-05, ""0.0001"": 8.733175744251293e-05, ""0.01"": 8.844490605293112e-05, ""1.0"": 0.00020057762674277686, ""100.0"": 0.0003771018360732448}"
1,11,512,0,256,512,288,0.0,0.0,"{""0.0"": 1.6674616471056173e-16, ""1e-08"": 3.823660730142842e-14, ""1e-06"": 2.1790905801448824e-13, ""0.0001"": 7.684027899337212e-10, ""0.01"": 1.233390916806879e-06, ""1.0"": 0.00013549888285848265, ""100.0"": 0.00037107190609282165}"
1,11,1024,0,256,1024,288,0.0,0.0,"{""0.0"": 9.944699035425086e-17, ""1e-08"": 9.025135361056814e-15, ""1e-06"": 4.925409388549641e-14, ""0.0001"": 7.917105444235441e-11, ""0.01"": 1.7691745804997896e-07, ""1.0"": 0.00011307530397113285, ""100.0"": 0.00037568884340558745}"
1,11,2048,0,256,2048,288,0.0,0.0,"{""0.0"": 8.503112664362327e-17, ""1e-08"": 5.252519558486919e-15, ""1e-06"": 3.4307897083899403e-14, ""0.0001"": 3.757798696317307e-11, ""0.01"": 9.055757390627222e-08, ""1.0"": 0.00010038334349930275, ""100.0"": 0.00037330987368702155}"
1,11,4096,0,256,4096,288,0.0,0.0,"{""0.0"": 8.012846612034878e-17, ""1e-08"": 3.814125404783169e-15, ""1e-06"": 2.7680918587428713e-14, ""0.0001"": 2.761441875456401e-11, ""0.01"": 6.731560443262798e-08, ""1.0"": 9.427603794852517e-05, ""100.0"": 0.00037226236404473066}"
1,11,8192,0,256,8192,288,0.0,0.0,"{""0.0"": 7.868521776907519e-17, ""1e-08"": 3.2359405782633197e-15, ""1e-06"": 2.568651361952697e-14, ""0.0001"": 2.420523359841118e-11, ""0.01"": 5.7944987775112405e-08, ""1.0"": 9.098845461685477e-05, ""100.0"": 0.0003704614328332884}"
1,11,16384,0,256,16384,288,0.0,0.0,"{""0.0"": 7.831765344620275e-17, ""1e-08"": 3.1077567408750815e-15, ""1e-06"": 2.52465124732372e-14, ""0.0001"": 2.2290822147400416e-11, ""0.01"": 5.4410630022544766e-08, ""1.0"": 8.980318050639113e-05, ""100.0"": 0.00037120903463544523}"
1,11,32768,0,256,32768,288,0.0,0.0,"{""0.0"": 7.859623418593951e-17, ""1e-08"": 3.152941132408637e-15, ""1e-06"": 2.562795241402351e-14, ""0.0001"": 2.1289986734626282e-11, ""0.01"": 5.2766610902029215e-08, ""1.0"": 8.925587728409396e-05, ""100.0"": 0.00037180193626072075}"
