cells,m,method,n_seeds,n_targets_per_seed,mean_anchors_in_target_cell,cosine_mean,cosine_ci_low,cosine_ci_high,r1_mean,r1_ci_low,r1_ci_high,r10_mean,r10_ci_low,r10_ci_high,coverage_any_mean,coverage_any_ci_low,coverage_any_ci_high,coverage_full_rank_mean,coverage_full_rank_ci_low,coverage_full_rank_ci_high
1,32,no_attack,3,256,32.0,-0.0059497628455588225,-0.010211254120131713,-0.0013885826673928543,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,32,ols_pinv,3,256,32.0,0.35564194205898936,0.35110016628559465,0.359914932238679,0.98828125,0.9791666666666666,0.99609375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,32,oracle_true_residual,3,256,32.0,1.0000000079849027,1.0000000021850415,1.0000000135824427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,32,polar_ols,3,256,32.0,0.1280199840578423,0.12049299088208641,0.13595463172385047,0.06380208333333333,0.04098307291666667,0.08984375,0.20182291666666666,0.17379557291666667,0.23177083333333334,1.0,1.0,1.0,0.0,0.0,0.0
1,32,procrustes_partial,3,256,32.0,0.13315351060100292,0.12864535536592472,0.13741707460063116,0.05859375,0.03317057291666667,0.08333333333333333,0.18880208333333334,0.16145833333333334,0.21875,1.0,1.0,1.0,0.0,0.0,0.0
1,32,ridge_alpha0,3,256,32.0,0.35564194205898936,0.35101029298855035,0.3597920545048897,0.98828125,0.9791666666666666,0.99609375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,32,ridge_cv,3,256,32.0,0.35564194269340255,0.3508933062796982,0.35925815806194533,0.98828125,0.9784830729166667,0.99609375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,64,no_attack,3,256,64.0,-0.0059497628455588225,-0.010092770931578244,-0.0014737239793166904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,64,ols_pinv,3,256,64.0,0.5008559789478962,0.4977995922132238,0.5038501198619256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,64,oracle_true_residual,3,256,64.0,1.0000000079849027,1.0000000029800318,1.000000013205293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,64,polar_ols,3,256,64.0,0.24931730120355153,0.24292533717847092,0.25521861317165423,0.6223958333333334,0.5800455729166667,0.6595377604166667,0.8567708333333334,0.82353515625,0.88671875,1.0,1.0,1.0,0.0,0.0,0.0
1,64,procrustes_partial,3,256,64.0,0.25529025129696103,0.24928976083095047,0.261252666881137,0.6796875,0.6425455729166667,0.7129231770833333,0.8763020833333334,0.8502604166666666,0.9056315104166667,1.0,1.0,1.0,0.0,0.0,0.0
1,64,ridge_alpha0,3,256,64.0,0.5008559789478962,0.4975626614422644,0.5040921469182869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,64,ridge_cv,3,256,64.0,0.5008559795175924,0.4975294036196244,0.5039376042071495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,no_attack,3,256,128.0,-0.0059497628455588225,-0.01017243916219696,-0.0014511839498258258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,ols_pinv,3,256,128.0,0.7038878301224001,0.7011109397787192,0.706849333171015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,oracle_true_residual,3,256,128.0,1.0000000079849027,1.0000000026145925,1.0000000133504268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,polar_ols,3,256,128.0,0.49836477324745854,0.4936183519581332,0.5031787176634014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,procrustes_partial,3,256,128.0,0.4954302135585265,0.4905941175024732,0.5005267820774425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,ridge_alpha0,3,256,128.0,0.7038878301224001,0.7013117778603861,0.7065220948547942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,ridge_cv,3,256,128.0,0.7038878281512885,0.7013239091995652,0.7068342539338438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,no_attack,3,256,256.0,-0.0059497628455588225,-0.010320029783296962,-0.0016894619348892682,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,ols_pinv,3,256,256.0,0.9598461372668526,0.9589948105174914,0.9606443484927931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,oracle_true_residual,3,256,256.0,1.0000000079849027,1.000000003142591,1.0000000128208755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,polar_ols,3,256,256.0,0.9236456867497749,0.9207879315835419,0.9267665114902117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,procrustes_partial,3,256,256.0,0.9222263316631064,0.9190285211483332,0.9260669628380008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,ridge_alpha0,3,256,256.0,0.9598461372668526,0.9590112181774847,0.9605939410402256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,ridge_cv,3,256,256.0,0.9598461388721308,0.9589980840203391,0.9606535814973249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,512,no_attack,3,256,512.0,-0.0059497628455588225,-0.010241821041049629,-0.0015263828800493918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,ols_pinv,3,256,512.0,1.0000000039187167,0.9999999996365657,1.0000000081953375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,oracle_true_residual,3,256,512.0,1.0000000079849027,1.0000000022258526,1.000000013603103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,polar_ols,3,256,512.0,1.0000000017456454,0.9999999977379456,1.0000000060532157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,procrustes_partial,3,256,512.0,1.0000000038007237,0.9999999998208184,1.0000000081104619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,ridge_alpha0,3,256,512.0,1.0000000039187167,0.9999999998402245,1.0000000083980087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,ridge_cv,3,256,512.0,1.0000000039187167,0.9999999995528995,1.0000000081187226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,no_attack,3,256,1024.0,-0.0059497628455588225,-0.010061506856597647,-0.0016875328671532885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,ols_pinv,3,256,1024.0,1.000000005523493,1.0000000001676013,1.0000000103263285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,oracle_true_residual,3,256,1024.0,1.0000000079849027,1.000000002522175,1.000000013188325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,polar_ols,3,256,1024.0,1.0000000011742298,0.9999999965543397,1.0000000064110668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,procrustes_partial,3,256,1024.0,1.0000000020039022,0.9999999978548817,1.000000006222669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,ridge_alpha0,3,256,1024.0,1.000000005523493,1.000000000694046,1.0000000097907356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,ridge_cv,3,256,1024.0,1.000000005523493,1.0000000007468421,1.0000000109636615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2048,no_attack,3,256,2048.0,-0.0059497628455588225,-0.010242824538248357,-0.0020994251704026293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2048,ols_pinv,3,256,2048.0,1.0000000040394035,0.9999999989818945,1.000000008521136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2048,oracle_true_residual,3,256,2048.0,1.0000000079849027,1.0000000023661484,1.000000013136423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2048,polar_ols,3,256,2048.0,1.000000004314271,1.0000000001522087,1.0000000090442585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2048,procrustes_partial,3,256,2048.0,1.0000000017877853,0.9999999980679776,1.0000000057474503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
