encoder,d,d_pub,d_priv,scheme,n,seed,condition,evaluated_queries,view,linkage_method,n_queries,top1,top5,top10,mrr,median_rank,mean_rank,auc,note
e5-small,384,96,288,cell_C64,500,11,clean,500,residual,cell_label_chance_control,500,0.12799999999999997,0.6059999999999999,0.918,0.3334187309422604,5.0,5.242,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,cell_C64,500,11,clean,500,residual,residual_norm_nn,500,0.988,1.0,1.0,0.994,1.0,1.012,0.9986932,
e5-small,384,96,288,cell_C64,500,11,clean,500,residual,residual_norm_rank_assignment,500,1.0,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,500,11,clean,500,full_server,public_prefix_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,clean,500,residual,gram_signature_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,clean,500,residual,nn_graph_signature_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,clean,500,residual,combined_invariants_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,clean,500,full_server,combined_prefix_invariants_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,clean,500,residual,gram_signature_hungarian,500,1.0,,,,,,,global one-to-one assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,500,11,clean,500,residual,raw_cross_key_cosine_control,500,0.138,0.606,0.894,0.33087560511384045,5.0,5.476,0.500023,
e5-small,384,96,288,cell_C64,500,11,clean,500,residual,known_anchor_ip_0.01,495,0.18383838383838383,0.6262626262626263,0.9171717171717172,0.3748521733102838,4.0,5.036363636363636,0.5313784307723701,
e5-small,384,96,288,cell_C64,500,11,clean,500,residual,known_anchor_ip_0.1,450,0.6155555555555555,0.8622222222222222,0.9911111111111112,0.7166833660166994,1.0,2.5244444444444443,0.759567901234568,
e5-small,384,96,288,cell_C64,500,11,fp16,500,residual,cell_label_chance_control,500,0.12799999999999997,0.6059999999999999,0.918,0.3334187309422604,5.0,5.242,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,cell_C64,500,11,fp16,500,residual,residual_norm_nn,500,0.986,1.0,1.0,0.993,1.0,1.014,0.9981264,
e5-small,384,96,288,cell_C64,500,11,fp16,500,residual,residual_norm_rank_assignment,500,0.952,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,500,11,fp16,500,full_server,public_prefix_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,fp16,500,residual,gram_signature_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,fp16,500,residual,nn_graph_signature_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,fp16,500,residual,combined_invariants_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,fp16,500,full_server,combined_prefix_invariants_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,fp16,500,residual,known_anchor_ip_0.01,495,0.18383838383838383,0.6262626262626263,0.9171717171717172,0.3748521733102838,4.0,5.036363636363636,0.5153168044077134,
e5-small,384,96,288,cell_C64,500,11,fp16,500,residual,known_anchor_ip_0.1,450,0.6155555555555555,0.8622222222222222,0.9911111111111112,0.7166833660166994,1.0,2.5244444444444443,0.6978148148148149,
e5-small,384,96,288,cell_C64,500,11,int8,500,residual,cell_label_chance_control,500,0.12799999999999997,0.6059999999999999,0.918,0.3334187309422604,5.0,5.242,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,cell_C64,500,11,int8,500,residual,residual_norm_nn,500,0.944,1.0,1.0,0.9716666666666667,1.0,1.058,0.9935088,
e5-small,384,96,288,cell_C64,500,11,int8,500,residual,residual_norm_rank_assignment,500,0.254,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,500,11,int8,500,full_server,public_prefix_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,int8,500,residual,gram_signature_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,int8,500,residual,nn_graph_signature_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,0.9999076,
e5-small,384,96,288,cell_C64,500,11,int8,500,residual,combined_invariants_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,int8,500,full_server,combined_prefix_invariants_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,int8,500,residual,known_anchor_ip_0.01,495,0.18383838383838383,0.6262626262626263,0.9171717171717172,0.3748521733102838,4.0,5.036363636363636,0.5020663197632895,
