encoder,scheme,n,condition,view,linkage_method,runs,top1_mean,top1_std,top1_min,top1_max,top5_mean,top5_std,top5_min,top5_max,top10_mean,top10_std,top10_min,top10_max,mrr_mean,mrr_std,mrr_min,mrr_max,median_rank_mean,median_rank_std,median_rank_min,median_rank_max,mean_rank_mean,mean_rank_std,mean_rank_min,mean_rank_max,auc_mean,auc_std,auc_min,auc_max
e5-small,cell_C64,10000,clean,full_server,combined_prefix_invariants_nn,3,0.9996666666666667,0.0005773502691896263,0.999,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9998333333333335,0.0002886751345947811,0.9995,1.0,1.0,0.0,1.0,1.0,1.0003333333333333,0.0005773502691895622,1.0,1.001,1.0,0.0,1.0,1.0
e5-small,cell_C64,10000,clean,full_server,public_prefix_nn,3,0.9993333333333334,0.0005773502691896263,0.999,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9996666666666667,0.0002886751345947811,0.9995,1.0,1.0,0.0,1.0,1.0,1.0006666666666666,0.0005773502691895622,1.0,1.001,1.0,0.0,1.0,1.0
e5-small,cell_C64,10000,clean,residual,cell_label_chance_control,3,0.00643867978898863,2.7057081021491872e-05,0.006419951465720389,0.006469700890943899,0.03219339894494314,0.0001352854051074591,0.03209975732860194,0.03234850445471949,0.06438679788988629,0.0002705708102149182,0.06419951465720387,0.06469700890943898,0.0358818477630578,8.37705544687271e-05,0.03581064545921767,0.03597415146996343,82.33333333333333,1.1547005383792517,81.0,83.0,85.873,0.15616657773032114,85.751,86.049,0.5,0.0,0.5,0.5
e5-small,cell_C64,10000,clean,residual,combined_invariants_nn,3,0.9996666666666667,0.0005773502691896263,0.999,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9998333333333335,0.0002886751345947811,0.9995,1.0,1.0,0.0,1.0,1.0,1.0003333333333333,0.0005773502691895622,1.0,1.001,1.0,0.0,1.0,1.0
e5-small,cell_C64,10000,clean,residual,gram_signature_nn,3,0.9993333333333334,0.0005773502691896263,0.999,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9996666666666667,0.0002886751345947811,0.9995,1.0,1.0,0.0,1.0,1.0,1.0006666666666666,0.0005773502691895622,1.0,1.001,1.0,0.0,1.0,1.0
e5-small,cell_C64,10000,clean,residual,known_anchor_ip_0.01,3,0.8101778128918782,0.011828127123644396,0.7975708502024291,0.8210313447927199,0.8219796984099044,0.0073958218734927,0.8137651821862348,0.8281092012133469,0.8297336832007686,0.008703039530670429,0.819838056680162,0.8361981799797775,0.8191837241032508,0.010085663156447225,0.808392518318165,0.8283718208432859,1.0,0.0,1.0,1.0,13.012400576380672,0.7652262106178505,12.381193124368048,13.863498483316482,0.8936809194546321,0.004588395103102424,0.8890358389745775,0.8982104463558189
e5-small,cell_C64,10000,clean,residual,known_anchor_ip_0.1,3,0.9996316758747698,0.0006379560985520839,0.9988950276243094,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9998158379373848,0.00031897804927604194,0.9994475138121547,1.0,1.0,0.0,1.0,1.0,1.0003683241252304,0.0006379560985520839,1.0,1.0011049723756906,1.0,0.0,1.0,1.0
e5-small,cell_C64,10000,clean,residual,nn_graph_signature_nn,3,0.9993333333333334,0.0005773502691896263,0.999,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9996666666666667,0.0002886751345947811,0.9995,1.0,1.0,0.0,1.0,1.0,1.0006666666666666,0.0005773502691895622,1.0,1.001,0.9999788000000001,3.671947712049051e-05,0.9999364,1.0
e5-small,cell_C64,10000,clean,residual,raw_cross_key_cosine_control,3,0.005666666666666667,0.002309401076758503,0.003,0.007,0.034333333333333334,0.006350852961085883,0.027,0.038,0.06833333333333334,0.00808290376865476,0.059,0.073,0.03670754334889196,0.003054343978894142,0.03345363183707734,0.039512659554978756,77.33333333333333,3.055050463303893,74.0,80.0,85.82666666666667,2.4211415351716448,83.153,87.871,0.50107755,0.013946106683587374,0.48828845,0.51594695
e5-small,cell_C64,10000,clean,residual,residual_norm_nn,3,0.8246666666666665,0.01171893055416464,0.816,0.838,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9078166666666667,0.0062452871119838185,0.9028666666666667,0.9148333333333334,1.0,0.0,1.0,1.0,1.2046666666666666,0.013650396819628919,1.19,1.217,0.99872825,0.00023027722966022888,0.9984883,0.99894745
