encoder,dataset,seed,repeat,query_id,candidate_count,active_cell_count,packing_width,packed_vector_length,d,d_pub,d_priv,offline_key_and_document_prepare_seconds,client_transform_ms,client_pack_ms,client_encrypt_ms,client_serialize_ms,server_query_deserialize_ms,server_plaintext_prepare_ms,server_ct_pt_eval_ms,server_response_serialize_ms,client_result_deserialize_ms,client_decrypt_ms,end_to_end_ms,server_eval_candidates_per_second,end_to_end_candidates_per_second,rss_start_mb,rss_end_mb,rss_sampled_max_mb,rss_sampled_increment_mb,process_peak_wset_before_mb,process_peak_wset_after_mb,score_max_abs_error,score_rmse,score_mean_abs_error,score_p99_abs_error,score_mean_relative_error,score_p99_relative_error,top1_flip,top10_overlap,top10_exact_order,full_rank_position_flip_fraction,kendall_tau,pairwise_order_flip_fraction,ranking_tied_pair_count,query_ciphertext_count,query_ciphertext_bytes,query_ciphertext_bytes_each,response_ciphertext_count,response_ciphertext_bytes,response_ciphertext_bytes_each_min,response_ciphertext_bytes_each_max,plaintext_keying_max_abs_error
multilingual-e5-small,SciFact,11,0,40,16,8,4,1152,384,96,288,0.5424844999797642,0.1362,0.0261,6.1344,4.2146,2.2322,0.0375,273.7291,11.2127,15.5393,9.6567,323.1883,58.45195121746281,49.506742663642214,169.14453125,176.67578125,176.67578125,7.53125,332.640625,332.640625,1.0387180737064794e-06,5.539082126952737e-07,4.989704327123048e-07,1.0193510200852407e-06,9.28474741531356e-06,1.846010315710617e-05,0,1.0,1,0.0,1.0,0.0,0,2,668834,"[334375, 334459]",16,3766042,235283,235474,9.098048328604058e-09
multilingual-e5-small,SciFact,11,1,40,16,8,8,2304,384,96,288,0.5424844999797642,0.1475,0.0387,3.7878,2.0498,1.1279,0.0979,334.5514,12.2236,15.3651,9.5012,379.2312,47.82523701888559,42.1906214467586,173.26171875,177.80078125,178.74609375,5.484375,332.640625,332.640625,1.94134769244958e-06,1.287410156066405e-06,1.2619367859307423e-06,1.8850526166694358e-06,2.337573355765303e-05,3.4116904856028745e-05,0,1.0,1,0.0,1.0,0.0,0,1,334046,[334046],16,3765606,235278,235449,9.098048328604058e-09
multilingual-e5-small,SciFact,11,4,40,16,8,1,288,384,96,288,0.5424844999797642,0.1709,0.0428,27.1966,17.0645,10.7418,0.0589,247.5469,12.0201,10.8754,9.7873,335.843,64.6342167888186,47.64130858764363,173.9609375,182.84765625,182.84765625,8.88671875,332.640625,332.640625,6.797213084955289e-07,5.219017208050719e-07,5.157795935763036e-07,6.732182818137977e-07,9.684252445281216e-06,1.5822774875367703e-05,0,1.0,1,0.0,1.0,0.0,0,8,2674205,"[333852, 334452, 334386, 334286, 334264, 334192, 334420, 334353]",16,3765742,235283,235463,9.098048328604058e-09
multilingual-e5-small,SciFact,11,2,40,16,8,4,1152,384,96,288,0.5424844999797642,0.1371,0.032,6.5443,3.992,2.1492,0.0347,277.2213,11.7718,9.7682,9.5345,321.4522,57.71562286159108,49.774118826998226,176.09375,181.66015625,181.66015625,5.56640625,332.640625,332.640625,8.51063012924369e-07,5.71049615658764e-07,5.515287666716176e-07,8.501028061290439e-07,1.0493074176902418e-05,1.683278264049857e-05,0,1.0,1,0.0,1.0,0.0,0,2,668485,"[334380, 334105]",16,3765710,235287,235426,9.098048328604058e-09
multilingual-e5-small,SciFact,11,4,40,16,8,8,2304,384,96,288,0.5424844999797642,0.1555,0.0417,3.5666,2.1467,1.1603,0.0506,333.5265,12.2915,11.3009,9.4685,374.0319,47.97220011003623,42.777100028099206,176.3125,181.14453125,181.14453125,4.83203125,332.640625,332.640625,1.705854849945454e-06,1.3541435607736675e-06,1.342831823483888e-06,1.683635453857829e-06,2.5045529712936e-05,3.504277323120485e-05,0,1.0,1,0.0,1.0,0.0,0,1,334256,[334256],16,3765806,235319,235418,9.098048328604058e-09
multilingual-e5-small,SciFact,11,2,40,16,8,8,2304,384,96,288,0.5424844999797642,0.1447,0.0333,3.5246,2.2287,1.0933,0.043,307.2749,11.53,9.0682,8.4797,343.6929,52.07063772537229,46.553187453101295,176.1015625,181.30859375,181.30859375,5.20703125,332.640625,332.640625,1.623086480342928e-06,1.2623032914285143e-06,1.2422032080634804e-06,1.6130835846166203e-06,2.308380488056929e-05,3.035518192370653e-05,0,1.0,1,0.0,1.0,0.0,0,1,334381,[334381],16,3765117,234934,235396,9.098048328604058e-09
multilingual-e5-small,SciFact,11,3,40,16,8,8,2304,384,96,288,0.5424844999797642,0.202,0.0358,3.2497,2.3378,1.1907,0.0397,324.7704,11.5122,10.613,9.8244,364.1606,49.26557346359151,43.93665871596213,176.546875,181.2890625,181.2890625,4.7421875,332.640625,332.640625,1.687521202012321e-06,1.3499867072097967e-06,1.3383242344947553e-06,1.6668440976544408e-06,2.4952038967115326e-05,3.633457149019049e-05,0,1.0,1,0.0,1.0,0.0,0,1,334451,[334451],16,3765512,235296,235433,9.098048328604058e-09
multilingual-e5-small,SciFact,11,0,40,16,8,8,2304,384,96,288,0.5424844999797642,0.1584,0.0371,3.5263,2.1143,1.0077,0.0456,329.1537,11.5362,9.9049,9.526,367.3217,48.60950978220813,43.55854826981362,176.32421875,181.23046875,181.23046875,4.90625,332.640625,332.640625,1.91118289619846e-06,1.274786297032627e-06,1.2518199409899608e-06,1.8442866767647695e-06,2.3572526059148808e-05,3.864932529358481e-05,0,1.0,1,0.0,1.0,0.0,0,1,334045,[334045],16,3765574,235275,235403,9.098048328604058e-09
multilingual-e5-small,SciFact,11,3,40,16,8,1,288,384,96,288,0.5424844999797642,0.1421,0.0268,26.8987,15.6352,8.7714,0.0401,232.2191,11.7145,10.4653,8.6436,314.914,68.90044789597411,50.80752205364005,177.2265625,183.05078125,183.05078125,5.82421875,332.640625,332.640625,6.378207142374026e-07,4.848785926865454e-07,4.803859880923682e-07,6.33026495612185e-07,8.972370722915133e-06,1.323623944976983e-05,0,1.0,1,0.0,1.0,0.0,0,8,2673410,"[333971, 334422, 334221, 334379, 333351, 334210, 334465, 334391]",16,3765915,235283,235487,9.098048328604058e-09
multilingual-e5-small,SciFact,11,4,40,16,8,2,576,384,96,288,0.5424844999797642,0.1332,0.035,11.7491,8.2028,4.4849,0.0522,251.7807,11.2026,12.371,9.2806,309.5569,63.547364829790375,51.68678197772365,175.64453125,181.70703125,181.70703125,6.0625,332.640625,332.640625,1.8536186429315982e-06,1.6477294421897193e-06,1.6427920901929648e-06,1.8418565938812386e-06,3.097771846496219e-05,4.4598615201576506e-05,0,1.0,1,0.0,1.0,0.0,0,4,1337361,"[334356, 334085, 334454, 334466]",16,3765959,235278,235415,9.098048328604058e-09
multilingual-e5-small,SciFact,11,1,40,16,8,2,576,384,96,288,0.5424844999797642,0.1344,0.0352,12.7337,8.7115,4.816,0.0576,266.6101,11.6941,10.9824,9.7287,325.817,60.01273020039377,49.10732098079596,176.09375,181.78515625,181.78515625,5.69140625,332.640625,332.640625,2.2898899137702156e-06,1.735441749732876e-06,1.723599274175338e-06,2.23820066824372e-06,3.232977811788283e-05,4.52005576185366e-05,0,1.0,1,0.0,1.0,0.0,0,4,1337051,"[334168, 334447, 334306, 334130]",16,3765850,235296,235445,9.098048328604058e-09
multilingual-e5-small,SciFact,11,0,40,16,8,2,576,384,96,288,0.5424844999797642,0.152,0.0346,13.774,9.6011,4.8631,0.0533,264.2605,12.6339,10.7712,9.5056,325.9715,60.54631698645845,49.08404569111104,176.546875,181.77734375,181.80078125,5.25390625,332.640625,332.640625,1.8451900445498604e-06,1.6694381778816768e-06,1.6662012726834097e-06,1.8429017468964136e-06,3.11676688448902e-05,4.0246697092550466e-05,0,1.0,1,0.0,1.0,0.0,0,4,1337482,"[334412, 334491, 334327, 334252]",16,3765540,235117,235480,9.098048328604058e-09
multilingual-e5-small,SciFact,11,3,40,16,8,2,576,384,96,288,0.5424844999797642,0.1507,0.0408,13.4428,7.8524,4.7908,0.0558,264.1253,11.487,9.3324,8.7086,320.3124,60.57730933007932,49.95123510672705,175.8671875,181.80078125,181.80078125,5.93359375,332.640625,332.640625,1.8936554442294806e-06,1.7047791087956214e-06,1.6985622143428532e-06,1.893559474713813e-06,3.183569618651796e-05,4.693839953062625e-05,0,1.0,1,0.0,1.0,0.0,0,4,1336460,"[333806, 334074, 334257, 334323]",16,3765949,235324,235432,9.098048328604058e-09
multilingual-e5-small,SciFact,11,3,40,16,8,4,1152,384,96,288,0.5424844999797642,0.1316,0.0282,6.2234,4.2495,2.0546,0.0311,272.6298,10.8072,10.45,8.5167,315.3748,58.687641629785155,50.73328623593261,176.31640625,181.36328125,181.36328125,5.046875,332.640625,332.640625,9.201743610964819e-07,5.200222397623707e-07,4.883539912103538e-07,8.866708126380184e-07,9.342501639648909e-06,2.1478624278709673e-05,0,1.0,1,0.0,1.0,0.0,0,2,668763,"[334356, 334407]",16,3765463,235290,235406,9.098048328604058e-09
multilingual-e5-small,SciFact,11,1,40,16,8,4,1152,384,96,288,0.5424844999797642,0.1441,0.0379,6.2873,4.2263,2.2025,0.0642,277.4326,10.9297,8.1537,8.5796,318.3652,57.67166511794216,50.256749167308485,176.4921875,182.40625,182.40625,5.9140625,332.640625,332.640625,7.140705740593667e-07,4.885512426552542e-07,4.6264156839618403e-07,7.028749896727249e-07,8.68357972434912e-06,1.4314527366883162e-05,0,1.0,1,0.0,1.0,0.0,0,2,668642,"[334269, 334373]",16,3765412,235272,235427,9.098048328604058e-09
multilingual-e5-small,SciFact,11,0,40,16,8,1,288,384,96,288,0.5424844999797642,0.1328,0.0242,23.7581,16.6459,8.9584,0.1969,239.5871,12.0212,10.7649,9.4619,321.8444,66.78155877340642,49.71346402174466,175.81640625,183.1015625,183.1015625,7.28515625,332.640625,332.640625,7.423868052455762e-07,5.825862869234545e-07,5.773622248433051e-07,7.350865683087431e-07,1.08826495652488e-05,1.759464237923956e-05,0,1.0,1,0.0,1.0,0.0,0,8,2674585,"[334365, 334039, 334341, 334441, 334303, 334465, 334338, 334293]",16,3765854,235278,235443,9.098048328604058e-09
multilingual-e5-small,SciFact,11,2,40,16,8,1,288,384,96,288,0.5424844999797642,0.1465,0.0267,26.4124,16.1481,10.2625,0.0505,240.4651,12.9982,10.4402,9.2873,326.5638,66.53772210603535,48.99502026862744,176.70703125,183.51171875,183.51171875,6.8046875,332.640625,332.640625,6.838933564803917e-07,5.664684853327583e-07,5.614699523865188e-07,6.778706389171801e-07,1.0562841953739345e-05,1.6591964929608984e-05,0,1.0,1,0.0,1.0,0.0,0,8,2673721,"[334415, 334475, 334384, 334469, 334135, 334146, 333510, 334187]",16,3765657,235045,235433,9.098048328604058e-09
multilingual-e5-small,SciFact,11,4,40,16,8,4,1152,384,96,288,0.5424844999797642,0.1481,0.0417,6.76,4.4671,2.3766,0.0452,290.9568,11.2452,9.0793,8.5279,333.9472,54.990981479037444,47.91176569230106,176.03125,181.89453125,181.89453125,5.86328125,332.640625,332.640625,7.081749869644605e-07,4.96754534859775e-07,4.627851392423679e-07,7.068027813039029e-07,8.808311208586534e-06,1.6561401910745336e-05,0,1.0,1,0.0,1.0,0.0,0,2,668422,"[334142, 334280]",16,3765924,235315,235466,9.098048328604058e-09
multilingual-e5-small,SciFact,11,1,40,16,8,1,288,384,96,288,0.5424844999797642,0.1341,0.0287,23.3033,15.6715,9.5744,0.0467,220.8687,11.8895,10.8065,9.3463,301.956,72.44122865756896,52.98785253480639,175.8125,183.2578125,183.2578125,7.4453125,332.640625,332.640625,6.563812969054283e-07,5.538648865218243e-07,5.500333281329914e-07,6.55013646363653e-07,1.0315557297284545e-05,1.4873180567962695e-05,0,1.0,1,0.0,1.0,0.0,0,8,2674149,"[334301, 334378, 334147, 334025, 334417, 334380, 334102, 334399]",16,3765884,235304,235444,9.098048328604058e-09
multilingual-e5-small,SciFact,11,2,40,16,8,2,576,384,96,288,0.5424844999797642,0.1616,0.0315,13.2868,8.1354,4.5756,0.056,247.9775,10.4907,9.4449,8.3481,302.7915,64.52198284118519,52.841641855864516,176.04296875,182.1953125,182.1953125,6.15234375,332.640625,332.640625,1.8659267989884487e-06,1.5868870077675065e-06,1.5791763922968528e-06,1.8532807317971078e-06,2.969449890286234e-05,4.630427637725353e-05,0,1.0,1,0.0,1.0,0.0,0,4,1336101,"[334261, 334273, 334246, 333321]",16,3765797,235308,235420,9.098048328604058e-09
multilingual-e5-small,SciFact,11,3,40,64,22,1,288,384,96,288,0.8932113000191748,0.3619,0.0617,73.3541,50.3314,29.6449,0.1073,918.8239,48.7201,38.9041,34.234,1194.9711,69.65426127901114,53.55778060239281,181.0078125,221.296875,221.296875,40.2890625,332.640625,332.640625,7.150362270683108e-07,5.271136462988827e-07,5.191928372470247e-07,6.978215933466785e-07,1.1736920289986469e-05,2.3707864102398232e-05,0,1.0,1,0.0,1.0,0.0,0,22,7355034,"[334462, 334459, 334420, 334249, 334180, 334198, 334522, 334301, 334251, 334425, 334178, 334183, 334369, 334031, 334450, 334288, 334396, 334330, 334188, 334321, 334537, 334296]",64,15062406,235284,235408,9.098048328604058e-09
multilingual-e5-small,SciFact,11,1,40,64,22,1,288,384,96,288,0.8932113000191748,0.3782,0.0425,62.9908,41.517,12.846,0.0761,1004.6645,51.8601,41.0629,38.5362,1254.4301,63.70285801877144,51.019183930615185,198.00390625,221.953125,221.953125,23.94921875,332.640625,332.640625,7.084357547051945e-07,5.316556147710859e-07,5.248148765290574e-07,6.986783739736796e-07,1.1907860316632002e-05,2.6282808721172315e-05,0,1.0,1,0.0,1.0,0.0,0,22,7354185,"[334122, 334448, 334411, 334269, 334142, 334188, 334112, 334466, 334202, 334237, 334417, 334496, 334462, 334412, 333848, 334130, 334305, 334213, 334395, 334139, 334366, 334405]",64,15062935,235264,235484,9.098048328604058e-09
multilingual-e5-small,SciFact,11,3,40,64,22,2,576,384,96,288,0.8932113000191748,0.3605,0.0606,37.395,26.6507,8.9783,0.1185,1064.3259,48.6607,37.1828,38.2581,1262.4251,60.13195770205348,50.69607693953487,197.8203125,219.421875,219.421875,21.6015625,332.640625,332.640625,1.908894641106107e-06,1.6804796815205286e-06,1.6753825248680908e-06,1.9061007932514793e-06,3.803312065468284e-05,7.665512526435759e-05,0,1.0,1,0.0,1.0,0.0,0,11,3677872,"[334572, 334446, 334396, 334151, 334310, 334517, 334341, 334152, 334297, 334341, 334349]",64,15062707,235244,235456,9.098048328604058e-09
multilingual-e5-small,SciFact,11,1,40,64,22,8,2304,384,96,288,0.8932113000191748,0.3867,0.0538,10.6381,6.8171,4.0328,0.1605,1254.61,46.185,32.7416,34.582,1390.653,51.01186822996788,46.02154527405471,198.125,216.5859375,216.5859375,18.4609375,332.640625,332.640625,1.8505856696771072e-06,1.32718579842333e-06,1.3007547256802584e-06,1.8462966576521938e-06,2.9518620524237792e-05,6.6577369330186e-05,0,1.0,1,0.0,1.0,0.0,0,3,1003169,"[334331, 334339, 334499]",64,15062094,235243,235430,9.098048328604058e-09
multilingual-e5-small,SciFact,11,0,40,64,22,4,1152,384,96,288,0.8932113000191748,0.3655,0.0551,19.7306,13.1006,7.2791,0.1308,1156.0139,46.9571,37.3572,34.8283,1316.2392,55.3626561064707,48.62338091738948,198.81640625,216.96484375,216.96484375,18.1484375,332.640625,332.640625,9.681267415170836e-07,5.246163435432399e-07,4.889765129403737e-07,8.931953966300612e-07,1.1621985479370579e-05,2.9838452010848887e-05,0,1.0,1,0.0,1.0,0.0,0,6,2006155,"[334250, 334222, 334355, 334435, 334348, 334545]",64,15062757,235265,235437,9.098048328604058e-09
