encoder,candidate_count,packing_width,measurement_count,seed_count,active_cells_mean,query_ciphertext_count_median,client_transform_ms_mean,client_transform_ms_p50,client_transform_ms_p95,client_transform_ms_p99,client_pack_ms_mean,client_pack_ms_p50,client_pack_ms_p95,client_pack_ms_p99,client_encrypt_ms_mean,client_encrypt_ms_p50,client_encrypt_ms_p95,client_encrypt_ms_p99,client_serialize_ms_mean,client_serialize_ms_p50,client_serialize_ms_p95,client_serialize_ms_p99,server_query_deserialize_ms_mean,server_query_deserialize_ms_p50,server_query_deserialize_ms_p95,server_query_deserialize_ms_p99,server_plaintext_prepare_ms_mean,server_plaintext_prepare_ms_p50,server_plaintext_prepare_ms_p95,server_plaintext_prepare_ms_p99,server_ct_pt_eval_ms_mean,server_ct_pt_eval_ms_p50,server_ct_pt_eval_ms_p95,server_ct_pt_eval_ms_p99,server_response_serialize_ms_mean,server_response_serialize_ms_p50,server_response_serialize_ms_p95,server_response_serialize_ms_p99,client_result_deserialize_ms_mean,client_result_deserialize_ms_p50,client_result_deserialize_ms_p95,client_result_deserialize_ms_p99,client_decrypt_ms_mean,client_decrypt_ms_p50,client_decrypt_ms_p95,client_decrypt_ms_p99,end_to_end_ms_mean,end_to_end_ms_p50,end_to_end_ms_p95,end_to_end_ms_p99,server_eval_candidates_per_second_mean,server_eval_candidates_per_second_p50,server_eval_candidates_per_second_p95,server_eval_candidates_per_second_p99,end_to_end_candidates_per_second_mean,end_to_end_candidates_per_second_p50,end_to_end_candidates_per_second_p95,end_to_end_candidates_per_second_p99,query_ciphertext_bytes_mean,query_ciphertext_bytes_p50,query_ciphertext_bytes_p95,query_ciphertext_bytes_p99,response_ciphertext_bytes_mean,response_ciphertext_bytes_p50,response_ciphertext_bytes_p95,response_ciphertext_bytes_p99,rss_sampled_increment_mb_mean,rss_sampled_increment_mb_p50,rss_sampled_increment_mb_p95,rss_sampled_increment_mb_p99,score_max_abs_error_max,score_rmse_mean,score_p99_abs_error_max,score_mean_relative_error_mean,top1_flip_count,top10_overlap_min,top10_overlap_mean,top10_exact_order_rate,kendall_tau_min,kendall_tau_mean,pairwise_order_flip_fraction_max,plaintext_keying_max_abs_error_max,upload_bytes_ratio_vs_width1_measured,upload_reduction_vs_width1_measured,end_to_end_speedup_vs_width1_measured_p50,server_eval_speedup_vs_width1_measured_p50
multilingual-e5-base,16,1,15,3,7.666666666666667,6.0,0.45785999999999993,0.3275,0.8127299999999995,1.0743059999999998,0.02803333333333334,0.0227,0.04490999999999996,0.06714199999999998,25.2548,19.5966,39.711859999999994,40.83253199999999,16.174973333333334,11.5783,27.901069999999997,28.099814,5.417946666666667,4.2816,9.322149999999999,9.794509999999999,0.04636,0.0449,0.060579999999999995,0.063716,275.3398133333333,274.2929,295.92312999999996,312.39838599999996,12.199706666666664,12.4076,12.965969999999999,13.176474,6.087293333333333,5.7701,8.451489999999998,8.946697999999998,9.792159999999999,9.16,13.28434,13.345268,351.1241066666667,343.6875,385.55008,392.341536,58.25476928434302,58.331805161562706,62.28200867584832,62.74169218772156,45.77074252381106,46.55391889434443,50.38561522756619,50.85916976899439,2562840.6666666665,2005861.0,4012056.2,4012304.84,3765730.933333333,3765743.0,3766003.6,3766043.92,8.55078125,8.5625,10.65703125,10.81890625,2.150349982604771e-06,1.6747267867749509e-06,2.128760201467947e-06,3.5720951652391815e-05,0,1.0,1.0,1.0,1.0,1.0,0.0,6.323897142057611e-09,1.0,0.0,1.0,1.0
multilingual-e5-base,16,2,15,3,7.666666666666667,3.0,0.5250466666666668,0.4691,0.8156399999999999,0.8676079999999999,0.03268,0.0289,0.05781999999999998,0.068684,15.089653333333334,13.4004,21.614189999999997,22.941557999999997,9.176346666666666,6.872,15.002049999999999,15.18881,2.831466666666666,2.3931,4.75455,4.82427,0.05794666666666667,0.0539,0.08803999999999998,0.09688799999999999,317.6756133333334,313.6856,340.48281999999995,346.576404,12.658086666666666,12.5552,14.332879999999996,16.133056,5.933700000000001,5.8357,6.850209999999999,7.219081999999999,9.706686666666666,9.4805,12.706369999999994,15.609353999999998,374.02347999999995,372.1189,404.6197,405.94634,50.50757213293824,51.0064854746281,54.06042101381035,54.50408563094437,42.89076433011782,42.99700982669787,45.95471161276311,46.249189201119115,1337126.4666666666,1003034.0,2005936.5,2006152.1,3765701.6666666665,3765691.0,3765907.5,3765999.9,7.726041666666666,7.484375,9.22734375,9.34546875,9.156556607797794e-07,5.492490469653008e-07,9.025200113251668e-07,1.1460165660296406e-05,0,1.0,1.0,1.0,1.0,1.0,0.0,6.323897142057611e-09,0.5000515987897467,0.4999484012102533,0.9235959259258264,0.874419801227726
multilingual-e5-base,16,4,15,3,7.666666666666667,2.0,0.4421,0.3119,0.7610299999999998,0.8932459999999999,0.046419999999999996,0.0408,0.06922,0.071684,8.100066666666667,7.121,10.90429,11.130138,5.65834,5.1566,8.199589999999999,8.780478,2.1438399999999995,2.0094,3.3904299999999976,4.617445999999998,0.08054666666666667,0.0664,0.12921999999999995,0.16192399999999996,340.82281333333333,345.0547,360.12313,362.493666,12.369226666666666,12.2419,13.948529999999998,14.771786,5.89546,5.439,7.945089999999997,9.696377999999997,9.164860000000001,8.878,11.817849999999998,12.862529999999998,385.03834666666677,384.296,406.77416,412.201232,47.01021841743307,46.36945968276913,49.8654957496713,50.173674897555046,41.61348264347826,41.634573349709605,43.965229617355114,44.1225027689535,780083.4666666667,668673.0,1003170.3,1003249.26,3765729.2,3765704.0,3766026.7,3766031.74,7.357291666666667,7.1796875,8.4453125,8.4453125,1.9829131904999797e-06,1.350760423280041e-06,1.964429603315207e-06,2.8186976984083167e-05,0,1.0,1.0,1.0,1.0,1.0,0.0,6.323897142057611e-09,0.33335958972231877,0.6666404102776813,0.8943301517580199,0.794925847988739
multilingual-e5-base,64,1,15,3,22.333333333333332,19.0,1.2492533333333333,1.366,1.8023,1.84486,0.07325333333333334,0.0581,0.17636,0.18543199999999999,71.03802,61.9237,100.78620999999998,111.88356199999998,47.43095333333334,41.7331,65.49507,68.226694,13.652053333333331,12.527,20.094469999999998,22.622253999999998,0.13018,0.1326,0.1826499999999999,0.24172999999999994,1109.7530133333335,1094.4303,1177.7256499999999,1186.08001,50.55956666666666,50.1416,56.24704,57.051648,22.937846666666665,22.4621,29.849179999999997,32.382396,40.459939999999996,40.7803,46.87199,47.218798,1357.7174133333333,1369.4904,1421.26677,1425.405114,57.75390524472108,58.477913120643684,60.52444770361331,61.817985747118236,47.21556884531173,46.73271167143633,50.10697646549494,50.66483814833896,7465837.466666667,6352389.0,9694759.1,9694987.02,15062897.6,15062883.0,15063424.8,15063444.96,25.009635416666665,24.1484375,28.2171875,28.2215625,2.173355405074573e-06,1.6720344511126899e-06,2.0277285025739605e-06,3.998670667403592e-05,0,1.0,1.0,1.0,1.0,1.0,0.0,9.805423598074903e-09,1.0,0.0,1.0,1.0
multilingual-e5-base,64,2,15,3,22.333333333333332,10.0,1.4257266666666666,1.2189,2.511889999999998,3.720537999999999,0.06422,0.0463,0.14054999999999998,0.15930999999999998,38.772346666666664,36.7087,50.81130999999999,56.34394199999999,24.252380000000006,21.854,31.11875,32.30903,7.315440000000001,6.9984,9.4843,9.50558,0.16865333333333332,0.1793,0.22498,0.226436,1241.06668,1238.689,1294.9681899999998,1297.3393979999998,50.80679333333333,49.6784,54.636449999999996,55.06345,22.441760000000002,21.5043,28.064709999999998,30.135422,38.29630666666666,37.4738,43.57158999999999,46.353837999999996,1425.0316266666669,1414.9702,1493.116,1513.97096,51.60403767814126,51.66752913766086,53.5963559959059,54.05742279823624,44.9472862727608,45.230634539158494,46.471863912340005,46.69728956711458,3900303.933333333,3343691.0,5014937.3,5015301.86,15062882.0,15062911.0,15063388.0,15063444.0,21.584895833333334,21.53125,22.599609375,22.632421875,1.0814129664735161e-06,5.274784649537792e-07,9.769744914253637e-07,1.1838535358492583e-05,0,1.0,1.0,1.0,1.0,1.0,0.0,9.805423598074903e-09,0.5263674815884228,0.47363251841157716,0.9678581216763433,0.8835392095998269
multilingual-e5-base,64,4,15,3,22.333333333333332,5.0,1.1471133333333332,0.976,1.50807,1.516974,0.07666666666666667,0.0648,0.11032,0.112784,21.2094,18.2459,29.46232,30.143504,13.133773333333332,11.4349,17.765719999999998,18.768344,3.7922066666666665,3.2972,5.400399999999999,5.73584,0.18751333333333334,0.1862,0.21210999999999997,0.22986199999999998,1387.813473333333,1387.6595,1430.24165,1433.98777,49.032653333333336,48.8652,51.84134,52.171068000000005,21.490286666666666,20.1797,27.32057,27.480674,37.590180000000004,36.3753,45.28079999999999,50.614799999999995,1535.868433333333,1530.4372,1585.09403,1593.641926,46.13253248752946,46.120824308845215,47.49418801160359,47.81937422156023,41.688935930348215,41.81811576456714,42.992568971780244,43.33675807056879,2005713.3333333333,1671730.0,2674453.5,2674893.1,15062983.666666666,15062967.0,15063389.7,15063517.94,20.72578125,20.5078125,22.1078125,22.1996875,2.216539029251119e-06,1.3589409700609722e-06,2.092929237945337e-06,3.1971345303347665e-05,0,1.0,1.0,1.0,1.0,1.0,0.0,9.805423598074903e-09,0.26316555865832525,0.7368344413416748,0.89483606383849,0.7886879310090119
multilingual-e5-base,128,1,15,3,33.0,31.0,1.870953333333333,1.9289,2.62748,2.691096,0.09546666666666664,0.086,0.1723399999999998,0.2747079999999999,110.32986666666666,108.8434,130.23439,134.570078,70.76717333333335,68.0981,86.39272,89.449424,19.78600666666667,19.2884,23.94448,24.521616,0.17930000000000001,0.1803,0.23489999999999991,0.27969999999999995,2221.370806666667,2213.931,2272.80508,2305.816856,98.97476666666667,99.2642,103.02190999999999,104.04598200000001,62.083846666666666,65.364,70.18162,70.851604,75.05509333333333,72.0602,86.145,88.48244,2661.0552266666664,2654.7391,2740.77223,2785.0055660000003,57.63790815264326,57.81571331717203,58.852857619124535,59.021316461350565,48.11719622636552,48.215660815784126,49.07824195924029,49.52916501133424,11031461.8,10362792.0,13037768.3,13038188.86,30125946.733333334,30126026.0,30126653.1,30126993.02,43.65390625,43.22265625,46.80234375,47.08234375,2.0807423938701275e-06,1.670241318712327e-06,2.0370785443039883e-06,4.765854004340798e-05,0,1.0,1.0,1.0,1.0,1.0,0.0,9.805423598074903e-09,1.0,0.0,1.0,1.0
multilingual-e5-base,128,2,15,3,33.0,16.0,1.8063066666666663,1.757,2.240829999999999,2.8720059999999994,0.07864666666666668,0.0699,0.1455599999999999,0.18767199999999995,55.76261333333333,51.1304,67.42474,67.816628,36.43313333333334,35.1714,44.87752,48.616304,10.953706666666667,9.829,15.60297,16.356674,0.3731933333333332,0.3269,0.5813499999999994,0.8666699999999996,2477.5453866666667,2474.0841,2566.745,2573.68676,100.17449333333333,99.3672,107.27055,108.30067,60.51767333333334,63.6687,74.75601999999999,79.77888399999999,74.06965333333333,74.6349,79.02925,79.33081,2818.308773333333,2823.1995,2945.99784,2949.255808,51.69232796231038,51.73631729010343,53.26054741367876,54.38459700242765,45.449872218315164,45.33863086898393,47.14706406284425,48.054804526471784,5683330.133333334,5348513.0,6686544.3,6686791.26,30126144.266666666,30126311.0,30126579.5,30126582.3,38.21328125,38.01171875,39.529296875,39.583984375,1.2360406175457306e-06,5.324611532847318e-07,1.0740059817809097e-06,1.431308056746592e-05,0,1.0,1.0,1.0,0.999753937007874,0.999983595800525,0.00012303149606299212,9.805423598074903e-09,0.5161266384580526,0.4838733615419474,0.9403299695965516,0.8948487240187187
multilingual-e5-base,128,4,15,3,33.0,8.0,1.7150266666666665,1.7929,2.1329699999999994,2.351874,0.10179999999999999,0.1015,0.14187999999999998,0.14893599999999999,28.60381333333334,27.8628,37.08283,37.160726,19.76279333333333,19.5409,24.915159999999993,28.632551999999997,5.85126,5.4602,8.13148,8.545656,0.3933733333333333,0.3423,0.6695899999999998,0.7985579999999999,2742.7458866666666,2746.5757,2825.06699,2852.102278,99.49990666666666,98.1405,105.27656999999999,105.94627399999999,69.13677333333332,69.4248,93.71980999999998,106.10460199999999,76.02995333333334,73.5426,84.85613,85.625066,3044.4087133333333,3040.4192,3136.30017,3137.210114,46.693551763773684,46.603485205232104,48.60024215460984,48.83778456528894,42.06515368397941,42.09945786423136,43.72157911540988,43.783872539839926,2897225.4,2674668.0,3343381.6,3343914.72,30125927.533333335,30125734.0,30126928.9,30127535.38,37.16197916666667,37.29296875,38.48046875,38.50234375,2.203479067514058e-06,1.3536705855898093e-06,1.9963663371560385e-06,3.7880363054714604e-05,0,1.0,1.0,1.0,1.0,1.0,0.0,9.805423598074903e-09,0.2581030286046463,0.7418969713953537,0.8731490381326364,0.8060695359680056
multilingual-e5-small,16,1,15,3,9.333333333333334,9.0,0.16746666666666662,0.1633,0.22102999999999998,0.230046,0.028893333333333333,0.0272,0.03733999999999999,0.041707999999999995,30.411693333333332,26.7152,45.11066999999999,49.647174,20.206286666666667,17.87,31.8298,32.850120000000004,8.3378,7.8739,10.406289999999998,10.674698,0.0562,0.0467,0.10043999999999985,0.1776079999999999,234.86083999999997,232.2191,260.07216,270.343232,12.081440000000002,11.9789,13.6657,13.863380000000001,7.573853333333335,6.3921,10.82717,10.865754,9.138493333333335,8.7022,10.400819999999998,11.342403999999998,323.1727466666667,318.1624,373.16728,383.459296,68.49092521259699,68.90044789597411,74.19879237290034,74.54851966239258,49.88591223235646,50.2887833383203,54.61068053854622,54.83253556541581,3119752.2,3008720.0,3677048.5,3677454.5,3765685.066666667,3765657.0,3765952.5,3766022.5,8.924479166666666,8.88671875,11.107031249999999,11.51828125,7.423868052455762e-07,5.268904436313748e-07,7.350865683087431e-07,1.2355036597667931e-05,0,1.0,1.0,1.0,1.0,1.0,0.0,1.2253998968314583e-08,1.0,0.0,1.0,1.0
