suite,encoder,dataset,epsilon,sigma,gallery_size,chance_r1,chance_r10,linkage_r1,linkage_r1_ci95_low,linkage_r1_ci95_high,linkage_r10,linkage_r10_ci95_low,linkage_r10_ci95_high,pairwise_auc_contribution,pairwise_auc_contribution_ci95_low,pairwise_auc_contribution_ci95_high
beir,multilingual-e5-base,arguana,0.5,16.1152530766871,5000,0.0002,0.002,0.0,0.0,0.0,0.00390625,0.0,0.013020833333333332,0.5050455729166666,0.4691548665364583,0.5425659179687499
beir,multilingual-e5-base,arguana,1.0,8.449366228011328,5000,0.0002,0.002,0.0,0.0,0.0,0.00390625,0.0,0.013020833333333332,0.5223795572916666,0.48567504882812496,0.5564025878906249
beir,multilingual-e5-base,arguana,2.0,4.460957003325374,5000,0.0002,0.002,0.0,0.0,0.0,0.005208333333333333,0.0,0.015625,0.5340169270833334,0.49951171875,0.5654317220052083
beir,multilingual-e5-base,arguana,4.0,2.3870395613531454,5000,0.0002,0.002,0.0,0.0,0.0,0.005208333333333333,0.0,0.015625,0.556396484375,0.5255493164062499,0.5852071126302083
beir,multilingual-e5-base,arguana,8.0,1.3058720745872001,5000,0.0002,0.002,0.0013020833333333333,0.0,0.0065429687499998215,0.005208333333333333,0.0,0.015625,0.602294921875,0.5661600748697917,0.6373697916666666
beir,multilingual-e5-base,arguana,16.0,0.73722405290227,5000,0.0002,0.002,0.0013020833333333333,0.0,0.0078125,0.0078125,0.0,0.018229166666666664,0.6806640625,0.6471293131510416,0.7127360026041666
beir,multilingual-e5-base,arguana,32.0,0.43237492535347166,5000,0.0002,0.002,0.00390625,0.0,0.010416666666666666,0.03515625,0.018229166666666664,0.0546875,0.7845865885416666,0.7552876790364583,0.81160888671875
beir,multilingual-e5-base,arguana,64.0,0.26380843334171206,5000,0.0002,0.002,0.028645833333333332,0.010416666666666666,0.05338541666666666,0.1328125,0.09895833333333331,0.1693033854166665,0.9093424479166666,0.887451171875,0.9287129720052083
beir,multilingual-e5-base,arguana,128.0,0.16683264581484528,5000,0.0002,0.002,0.19661458333333334,0.15755208333333331,0.234375,0.4973958333333333,0.4375,0.5546875,0.9805501302083334,0.9745259602864584,0.9860860188802083
beir,multilingual-e5-base,arguana,256.0,0.10865852949393662,5000,0.0002,0.002,0.7161458333333334,0.6744791666666666,0.7591145833333333,0.92578125,0.89453125,0.953125,0.999267578125,0.9978841145833334,1.0
beir,multilingual-e5-base,arguana,512.0,0.0723951243591535,5000,0.0002,0.002,0.98046875,0.9635416666666666,0.9947916666666666,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,arguana,1024.0,0.049054348512207455,5000,0.0002,0.002,0.9908854166666666,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,arguana,2048.0,0.03364862959799442,5000,0.0002,0.002,0.9921875,0.98046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,arguana,4096.0,0.023285155746839942,5000,0.0002,0.002,0.9947916666666666,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,arguana,8192.0,0.01621503157066274,5000,0.0002,0.002,0.99609375,0.98828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,arguana,16384.0,0.011342138868479306,5000,0.0002,0.002,0.99609375,0.98828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,arguana,32768.0,0.007958795070825649,5000,0.0002,0.002,0.99609375,0.98828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,nfcorpus,0.5,16.1152530766871,3633,0.0002752546105147261,0.0027525461051472614,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0078125,0.5013020833333334,0.47297973632812496,0.5295491536458333
beir,multilingual-e5-base,nfcorpus,1.0,8.449366228011328,3633,0.0002752546105147261,0.0027525461051472614,0.0,0.0,0.0,0.00390625,0.0,0.01171875,0.505859375,0.47257080078124997,0.5381734212239583
beir,multilingual-e5-base,nfcorpus,2.0,4.460957003325374,3633,0.0002752546105147261,0.0027525461051472614,0.0,0.0,0.0,0.00390625,0.0,0.013020833333333332,0.5286458333333334,0.49373372395833337,0.5631530761718749
beir,multilingual-e5-base,nfcorpus,4.0,2.3870395613531454,3633,0.0002752546105147261,0.0027525461051472614,0.0,0.0,0.0,0.00390625,0.0,0.01171875,0.538818359375,0.5082153320312499,0.5671407063802083
beir,multilingual-e5-base,nfcorpus,8.0,1.3058720745872001,3633,0.0002752546105147261,0.0027525461051472614,0.0,0.0,0.0,0.010416666666666666,0.0013020833333333333,0.022135416666666664,0.6016438802083334,0.5677856445312499,0.6333089192708333
beir,multilingual-e5-base,nfcorpus,16.0,0.73722405290227,3633,0.0002752546105147261,0.0027525461051472614,0.0026041666666666665,0.0,0.009114583333333332,0.013020833333333334,0.00390625,0.026041666666666664,0.6689453125,0.6386698404947917,0.6980102539062499
beir,multilingual-e5-base,nfcorpus,32.0,0.43237492535347166,3633,0.0002752546105147261,0.0027525461051472614,0.009114583333333334,0.0,0.020833333333333332,0.036458333333333336,0.018229166666666664,0.05729166666666666,0.7792154947916666,0.753173828125,0.802978515625
beir,multilingual-e5-base,nfcorpus,64.0,0.26380843334171206,3633,0.0002752546105147261,0.0027525461051472614,0.03515625,0.018229166666666664,0.053385416666666664,0.14322916666666666,0.109375,0.17578125,0.8931477864583334,0.8685689290364584,0.9140625
beir,multilingual-e5-base,nfcorpus,128.0,0.16683264581484528,3633,0.0002752546105147261,0.0027525461051472614,0.1953125,0.15885416666666666,0.23437499999999997,0.47265625,0.42447916666666663,0.5221354166666667,0.9742838541666666,0.9654093424479167,0.9817708333333333
