suite,encoder,dataset,seed,epsilon,sigma,n_queries,ndcg10,recall10,recall100,score_pearson,score_rmse,clean_top10_overlap,n_attack_targets,linkage_r1,linkage_r10,pairwise_auc
beir,multilingual-e5-base,arguana,11,0.5,16.1152530766871,1401,0.00027612620073843083,0.0007137758743754461,0.014275517487508922,-0.005162973252093775,0.7576011231781682,0.0008565310492505355,256,0.0,0.00390625,0.486572265625
beir,multilingual-e5-base,arguana,23,0.5,16.1152530766871,1401,0.0007705030465328018,0.0021413276231263384,0.014275517487508922,-0.0035393326361751088,0.7571554093044115,0.0014989293361884367,256,0.0,0.0078125,0.492431640625
beir,multilingual-e5-base,arguana,31,0.5,16.1152530766871,1401,0.00035688793718772306,0.0007137758743754461,0.009992862241256246,0.0024057234081174017,0.7570208863227931,0.0007851534618129908,256,0.0,0.0,0.5361328125
beir,multilingual-e5-base,arguana,11,1.0,8.449366228011328,1401,0.00027612620073843083,0.0007137758743754461,0.014275517487508922,-0.003959366871178421,0.7560635991265219,0.0008565310492505355,256,0.0,0.00390625,0.49560546875
beir,multilingual-e5-base,arguana,23,1.0,8.449366228011328,1401,0.0007705030465328018,0.0021413276231263384,0.014275517487508922,-0.002325961393104322,0.7556173701692799,0.0014989293361884367,256,0.0,0.0078125,0.529541015625
beir,multilingual-e5-base,arguana,31,1.0,8.449366228011328,1401,0.00035688793718772306,0.0007137758743754461,0.010706638115631691,0.003619032918949201,0.7554829027720279,0.0007851534618129908,256,0.0,0.0,0.5419921875
beir,multilingual-e5-base,arguana,11,2.0,4.460957003325374,1401,0.00027612620073843083,0.0007137758743754461,0.014275517487508922,-0.0016968881132037707,0.753173891879493,0.0009279086366880799,256,0.0,0.00390625,0.521240234375
beir,multilingual-e5-base,arguana,23,2.0,4.460957003325374,1401,0.0007705030465328018,0.0021413276231263384,0.014275517487508922,-4.510921721318716e-05,0.7527267063742943,0.0014989293361884367,256,0.0,0.01171875,0.525146484375
beir,multilingual-e5-base,arguana,31,2.0,4.460957003325374,1401,0.00035688793718772306,0.0007137758743754461,0.012134189864382585,0.0058995964765990545,0.7525923503881089,0.0007851534618129908,256,0.0,0.0,0.5556640625
beir,multilingual-e5-base,arguana,11,4.0,2.3870395613531454,1401,0.0003074065368118437,0.0007137758743754461,0.014989293361884369,0.002468499317922349,0.7478558340557903,0.001284796573875803,256,0.0,0.00390625,0.540771484375
beir,multilingual-e5-base,arguana,23,4.0,2.3870395613531454,1401,0.0007705030465328018,0.0021413276231263384,0.014275517487508922,0.0041541625497169546,0.7474069273249613,0.0015703069236259815,256,0.0,0.01171875,0.55810546875
beir,multilingual-e5-base,arguana,31,4.0,2.3870395613531454,1401,0.00035688793718772306,0.0007137758743754461,0.013561741613133477,0.010097749000045151,0.7472728002541248,0.0007851534618129908,256,0.0,0.0,0.5703125
beir,multilingual-e5-base,arguana,11,8.0,1.3058720745872001,1401,0.00035688793718772306,0.0007137758743754461,0.01641684511063526,0.009890834419128419,0.7383895269913848,0.0014275517487508922,256,0.0,0.00390625,0.583740234375
beir,multilingual-e5-base,arguana,23,8.0,1.3058720745872001,1401,0.0008653921300614163,0.0021413276231263384,0.015703069236259814,0.011637040512770716,0.7379376835183838,0.001641684511063526,256,0.00390625,0.01171875,0.5947265625
beir,multilingual-e5-base,arguana,31,8.0,1.3058720745872001,1401,0.0004503424365249518,0.0007137758743754461,0.013561741613133477,0.017576749649665303,0.7378040401892053,0.0007851534618129908,256,0.0,0.0,0.62841796875
beir,multilingual-e5-base,arguana,11,16.0,0.73722405290227,1401,0.00035688793718772306,0.0007137758743754461,0.017844396859386154,0.022548188592028336,0.7222925388091741,0.0016416845110635262,256,0.0,0.00390625,0.659423828125
beir,multilingual-e5-base,arguana,23,16.0,0.73722405290227,1401,0.0011154678378208216,0.0028551034975017845,0.015703069236259814,0.024398025526455727,0.7218360819884425,0.001713062098501071,256,0.00390625,0.01171875,0.68115234375
beir,multilingual-e5-base,arguana,31,16.0,0.73722405290227,1401,0.0004503424365249518,0.0007137758743754461,0.014275517487508922,0.030325588991295938,0.721703484714529,0.0009992862241256246,256,0.0,0.0078125,0.701416015625
beir,multilingual-e5-base,arguana,11,32.0,0.43237492535347166,1401,0.0005632154363439599,0.0014275517487508922,0.01998572448251249,0.04310689611249685,0.6963423739584876,0.0022840827980014277,256,0.00390625,0.02734375,0.76220703125
beir,multilingual-e5-base,arguana,23,32.0,0.43237492535347166,1401,0.0015224798301881966,0.0028551034975017845,0.017130620985010708,0.04512558797379962,0.695879518328135,0.001998572448251249,256,0.00390625,0.03515625,0.79248046875
beir,multilingual-e5-base,arguana,31,32.0,0.43237492535347166,1401,0.0004503424365249518,0.0007137758743754461,0.019271948608137045,0.0510188021598586,0.695749194777057,0.0011420413990007139,256,0.00390625,0.04296875,0.799072265625
beir,multilingual-e5-base,arguana,11,64.0,0.26380843334171206,1401,0.0011197664454021467,0.0028551034975017845,0.026409707351891507,0.07509987323350822,0.6567021704104029,0.003140613847251963,256,0.01953125,0.12109375,0.891845703125
beir,multilingual-e5-base,arguana,23,64.0,0.26380843334171206,1401,0.0018110426478938012,0.0035688793718772305,0.023554603854389723,0.07738041078975613,0.6562321265288734,0.0033547466095645967,256,0.01953125,0.12109375,0.9140625
beir,multilingual-e5-base,arguana,31,64.0,0.26380843334171206,1401,0.0004503424365249518,0.0007137758743754461,0.026409707351891507,0.08318563136876836,0.6561066452869367,0.002569593147751606,256,0.046875,0.15625,0.922119140625
beir,multilingual-e5-base,arguana,11,128.0,0.16683264581484528,1401,0.0034303436916147314,0.008565310492505354,0.042826552462526764,0.12349240601231623,0.5992285447188365,0.00620985010706638,256,0.19140625,0.45703125,0.97802734375
beir,multilingual-e5-base,arguana,23,128.0,0.16683264581484528,1401,0.002824917976991545,0.006423982869379015,0.03283369022127052,0.1261578617765295,0.5987539850117328,0.006067094932191292,256,0.1875,0.5,0.98046875
beir,multilingual-e5-base,arguana,31,128.0,0.16683264581484528,1401,0.0011562045339999726,0.0028551034975017845,0.03997144896502498,0.13175770558643787,0.598638312589463,0.004996431120628123,256,0.2109375,0.53515625,0.983154296875
beir,multilingual-e5-base,arguana,11,256.0,0.10865852949393662,1401,0.0073454124547148135,0.014989293361884369,0.07209136331192005,0.19572037946247844,0.5205964707285244,0.014775160599571733,256,0.69921875,0.90625,0.999755859375
beir,multilingual-e5-base,arguana,23,256.0,0.10865852949393662,1401,0.005200533811570141,0.011420413990007138,0.07137758743754462,0.1989027427033405,0.5201280049405324,0.013990007137758744,256,0.72265625,0.9296875,0.998046875
beir,multilingual-e5-base,arguana,31,256.0,0.10865852949393662,1401,0.004915292579167211,0.01284796573875803,0.06780870806566738,0.20406825084839553,0.5200304728207413,0.013418986438258387,256,0.7265625,0.94140625,1.0
beir,multilingual-e5-base,arguana,11,512.0,0.0723951243591535,1401,0.020493866645645082,0.03497501784439686,0.15417558886509636,0.30217162321619573,0.42130314011276937,0.04739471805852963,256,0.98046875,1.0,1.0
beir,multilingual-e5-base,arguana,23,512.0,0.0723951243591535,1401,0.014946594210417694,0.027837259100642397,0.16131334760885083,0.3058912142814496,0.4208646202818231,0.04054246966452534,256,0.9765625,1.0,1.0
beir,multilingual-e5-base,arguana,31,512.0,0.0723951243591535,1401,0.014484531087213726,0.027837259100642397,0.15417558886509636,0.3102589830668864,0.42079574351831084,0.04232690935046396,256,0.984375,1.0,1.0
beir,multilingual-e5-base,arguana,11,1024.0,0.049054348512207455,1401,0.06095134227382492,0.11134903640256959,0.3483226266952177,0.45060777927153783,0.3101372136270286,0.14382583868665239,256,0.9921875,1.0,1.0
