encoder,d,d_pub,d_priv,scheme,n,overlap,shared_n,a_only,b_only,seed,condition,candidate_scope,linkage_method,n_a,n_b,top1_precision,top1_recall,top5_recall,top10_recall,mrr,auc,forced_false_matches,mnn_accepted,mnn_precision,mnn_recall,mnn_false_matches,mnn_unmatched_a,note
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,clean,same public cell,cell_label_chance_control,2000,2000,0.007954107208057497,0.03181642883222999,0.15908214416115,0.31549762165563333,,0.5,1984.091785583885,,,,,,analytic random choice within the disclosed public cell
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,clean,same public cell,public_prefix_nn,2000,2000,0.25,1.0,1.0,1.0,1.0,1.0,1500,908,0.5506607929515418,1.0,408,1092,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,clean,same public cell,residual_norm_nn,2000,2000,0.25,1.0,1.0,1.0,1.0,1.0,1500,1077,0.46425255338904364,1.0,577,923,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,clean,same public cell,gram_quantile_signature_nn,2000,2000,0.0335,0.134,0.382,0.588,0.2655678008724286,0.6634848,1933,747,0.04417670682730924,0.066,714,1253,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,clean,same public cell,robust_neighbour_signature_nn,2000,2000,0.034,0.136,0.37,0.578,0.27008139356951083,0.6638,1932,661,0.049924357034795766,0.066,628,1339,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,clean,same public cell,combined_residual_invariants_nn,2000,2000,0.0345,0.138,0.414,0.632,0.281818405309953,0.6798304,1931,712,0.05337078651685393,0.076,674,1288,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,clean,same public cell,combined_prefix_residual_nn,2000,2000,0.247,0.988,0.994,0.998,0.990998892580288,0.9916832,1506,881,0.5584562996594779,0.984,389,1119,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,clean,same public cell,raw_cross_key_cosine_control,2000,2000,0.005,0.02,0.138,0.308,0.11383278694988999,0.4837336,1990,961,0.002081165452653486,0.004,959,1039,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,fp16,same public cell,cell_label_chance_control,2000,2000,0.007954107208057497,0.03181642883222999,0.15908214416115,0.31549762165563333,,0.5,1984.091785583885,,,,,,analytic random choice within the disclosed public cell
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,fp16,same public cell,public_prefix_nn,2000,2000,0.25,1.0,1.0,1.0,1.0,1.0,1500,908,0.5506607929515418,1.0,408,1092,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,fp16,same public cell,residual_norm_nn,2000,2000,0.247,0.988,1.0,1.0,0.994,0.9992622,1506,1074,0.4581005586592179,0.984,582,926,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,fp16,same public cell,gram_quantile_signature_nn,2000,2000,0.0335,0.134,0.382,0.586,0.26552125770970897,0.6634712,1933,746,0.04423592493297587,0.066,713,1254,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,fp16,same public cell,robust_neighbour_signature_nn,2000,2000,0.034,0.136,0.37,0.576,0.2698982257569313,0.6638035999999999,1932,660,0.05,0.066,627,1340,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,fp16,same public cell,combined_residual_invariants_nn,2000,2000,0.0345,0.138,0.414,0.632,0.28184038333193095,0.6798116,1931,711,0.053445850914205346,0.076,673,1289,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,fp16,same public cell,combined_prefix_residual_nn,2000,2000,0.247,0.988,0.994,0.998,0.990998892580288,0.991682,1506,881,0.5584562996594779,0.984,389,1119,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,int8,same public cell,cell_label_chance_control,2000,2000,0.007954107208057497,0.03181642883222999,0.15908214416115,0.31549762165563333,,0.5,1984.091785583885,,,,,,analytic random choice within the disclosed public cell
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,int8,same public cell,public_prefix_nn,2000,2000,0.25,1.0,1.0,1.0,1.0,1.0,1500,904,0.5530973451327433,1.0,404,1096,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,int8,same public cell,residual_norm_nn,2000,2000,0.2035,0.814,1.0,1.0,0.8983333333333333,0.9924284,1593,1055,0.33933649289099527,0.716,697,945,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,int8,same public cell,gram_quantile_signature_nn,2000,2000,0.0325,0.13,0.374,0.596,0.263431600279071,0.6628592,1935,739,0.03924221921515562,0.058,710,1261,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,int8,same public cell,robust_neighbour_signature_nn,2000,2000,0.034,0.136,0.374,0.584,0.2708030672908626,0.6633555999999999,1932,670,0.04477611940298507,0.06,640,1330,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,int8,same public cell,combined_residual_invariants_nn,2000,2000,0.0345,0.138,0.41,0.634,0.2814980317984055,0.6796384,1931,717,0.04741980474198047,0.068,683,1283,
e5-small,384,96,288,cell_C64,2000,0.25,500,1500,1500,11,int8,same public cell,combined_prefix_residual_nn,2000,2000,0.247,0.988,0.996,0.998,0.9913988925802879,0.9918087999999999,1506,872,0.5642201834862385,0.984,380,1128,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,clean,same public cell,cell_label_chance_control,2000,2000,0.007954107208057499,0.031816428832229994,0.15908214416115,0.31549762165563333,,0.5,1984.091785583885,,,,,,analytic random choice within the disclosed public cell
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,clean,same public cell,public_prefix_nn,2000,2000,0.25,1.0,1.0,1.0,1.0,1.0,1500,908,0.5506607929515418,1.0,408,1092,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,clean,same public cell,residual_norm_nn,2000,2000,0.25,1.0,1.0,1.0,1.0,1.0,1500,1077,0.46425255338904364,1.0,577,923,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,clean,same public cell,gram_quantile_signature_nn,2000,2000,0.012,0.048,0.22,0.39,0.1565312417380719,0.5427448,1976,762,0.011811023622047244,0.018,753,1238,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,clean,same public cell,robust_neighbour_signature_nn,2000,2000,0.0145,0.058,0.246,0.41,0.1675885180519777,0.5498424,1971,660,0.019696969696969695,0.026,647,1340,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,clean,same public cell,combined_residual_invariants_nn,2000,2000,0.017,0.068,0.252,0.416,0.17898194549100674,0.5513996,1966,717,0.022315202231520222,0.032,701,1283,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,clean,same public cell,combined_prefix_residual_nn,2000,2000,0.2395,0.958,0.984,0.99,0.9674881598793363,0.9808204,1521,856,0.5549065420560748,0.95,381,1144,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,clean,same public cell,raw_cross_key_cosine_control,2000,2000,0.0075,0.03,0.18,0.316,0.12867602877849896,0.5003184,1985,1011,0.009891196834817012,0.02,1001,989,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,fp16,same public cell,cell_label_chance_control,2000,2000,0.007954107208057499,0.031816428832229994,0.15908214416115,0.31549762165563333,,0.5,1984.091785583885,,,,,,analytic random choice within the disclosed public cell
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,fp16,same public cell,public_prefix_nn,2000,2000,0.25,1.0,1.0,1.0,1.0,1.0,1500,908,0.5506607929515418,1.0,408,1092,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,fp16,same public cell,residual_norm_nn,2000,2000,0.2485,0.994,1.0,1.0,0.997,0.9999720000000001,1503,1078,0.45918367346938777,0.99,583,922,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,fp16,same public cell,gram_quantile_signature_nn,2000,2000,0.012,0.048,0.22,0.392,0.1564243523311825,0.542766,1976,763,0.011795543905635648,0.018,754,1237,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,fp16,same public cell,robust_neighbour_signature_nn,2000,2000,0.0145,0.058,0.246,0.41,0.16768851805197774,0.5498608,1971,660,0.01818181818181818,0.024,648,1340,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,fp16,same public cell,combined_residual_invariants_nn,2000,2000,0.017,0.068,0.252,0.416,0.17907221076707763,0.5514192,1966,717,0.022315202231520222,0.032,701,1283,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,fp16,same public cell,combined_prefix_residual_nn,2000,2000,0.2395,0.958,0.984,0.99,0.9674881598793363,0.9808167999999999,1521,856,0.5549065420560748,0.95,381,1144,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,int8,same public cell,cell_label_chance_control,2000,2000,0.007954107208057499,0.031816428832229994,0.15908214416115,0.31549762165563333,,0.5,1984.091785583885,,,,,,analytic random choice within the disclosed public cell
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,int8,same public cell,public_prefix_nn,2000,2000,0.25,1.0,1.0,1.0,1.0,1.0,1500,904,0.5530973451327433,1.0,404,1096,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,int8,same public cell,residual_norm_nn,2000,2000,0.205,0.82,1.0,1.0,0.9038333333333333,0.9944161999999999,1590,1059,0.33994334277620397,0.72,699,941,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,int8,same public cell,gram_quantile_signature_nn,2000,2000,0.0125,0.05,0.22,0.394,0.15846856487972708,0.5424968,1975,765,0.011764705882352941,0.018,756,1235,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,int8,same public cell,robust_neighbour_signature_nn,2000,2000,0.0145,0.058,0.254,0.402,0.1686024023406849,0.549366,1971,663,0.01809954751131222,0.024,651,1337,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,int8,same public cell,combined_residual_invariants_nn,2000,2000,0.017,0.068,0.252,0.416,0.17867296593436707,0.5511596,1966,717,0.02092050209205021,0.03,702,1283,
e5-small,384,96,288,microkey_perdoc,2000,0.25,500,1500,1500,11,int8,same public cell,combined_prefix_residual_nn,2000,2000,0.2395,0.958,0.982,0.99,0.9677645104895105,0.9805668000000001,1521,863,0.5504055619930475,0.95,388,1137,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,clean,same public cell,cell_label_chance_control,2000,2000,0.01587713694198251,0.03175427388396502,0.15877136941982511,0.31754273883965023,,0.5,1968.245726116035,,,,,,analytic random choice within the disclosed public cell
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,clean,same public cell,public_prefix_nn,2000,2000,0.5,1.0,1.0,1.0,1.0,1.0,1000,1193,0.8382229673093042,1.0,193,807,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,clean,same public cell,residual_norm_nn,2000,2000,0.5,1.0,1.0,1.0,1.0,1.0,1000,1291,0.774593338497289,1.0,291,709,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,clean,same public cell,gram_quantile_signature_nn,2000,2000,0.159,0.318,0.627,0.782,0.4616557569084715,0.7908634000000001,1682,855,0.26198830409356727,0.224,631,1145,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,clean,same public cell,robust_neighbour_signature_nn,2000,2000,0.1375,0.275,0.598,0.772,0.4295477700648126,0.7689734,1725,743,0.24360699865410498,0.181,562,1257,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,clean,same public cell,combined_residual_invariants_nn,2000,2000,0.1685,0.337,0.65,0.807,0.48254347789641316,0.7965317000000001,1663,830,0.2746987951807229,0.228,602,1170,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,clean,same public cell,combined_prefix_residual_nn,2000,2000,0.4995,0.999,0.999,0.999,0.9990222222222223,0.9986236,1001,1186,0.842327150084317,0.999,187,814,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,clean,same public cell,raw_cross_key_cosine_control,2000,2000,0.017,0.034,0.154,0.312,0.12600261128172174,0.502902,1966,971,0.021627188465499485,0.021,950,1029,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,fp16,same public cell,cell_label_chance_control,2000,2000,0.01587713694198251,0.03175427388396502,0.15877136941982511,0.31754273883965023,,0.5,1968.245726116035,,,,,,analytic random choice within the disclosed public cell
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,fp16,same public cell,public_prefix_nn,2000,2000,0.5,1.0,1.0,1.0,1.0,1.0,1000,1193,0.8382229673093042,1.0,193,807,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,fp16,same public cell,residual_norm_nn,2000,2000,0.4995,0.999,1.0,1.0,0.9995,0.9999005000000001,1001,1289,0.7742435996896819,0.998,291,711,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,fp16,same public cell,gram_quantile_signature_nn,2000,2000,0.159,0.318,0.627,0.782,0.4616599235751382,0.7908724,1682,855,0.26198830409356727,0.224,631,1145,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,fp16,same public cell,robust_neighbour_signature_nn,2000,2000,0.1375,0.275,0.598,0.77,0.4295323660244086,0.7689736999999999,1725,743,0.24360699865410498,0.181,562,1257,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,fp16,same public cell,combined_residual_invariants_nn,2000,2000,0.1685,0.337,0.65,0.807,0.4825409778964131,0.7965360000000001,1663,830,0.2746987951807229,0.228,602,1170,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,fp16,same public cell,combined_prefix_residual_nn,2000,2000,0.4995,0.999,0.999,0.999,0.9990222222222223,0.9986237,1001,1186,0.842327150084317,0.999,187,814,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,int8,same public cell,cell_label_chance_control,2000,2000,0.01587713694198251,0.03175427388396502,0.15877136941982511,0.31754273883965023,,0.5,1968.245726116035,,,,,,analytic random choice within the disclosed public cell
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,int8,same public cell,public_prefix_nn,2000,2000,0.5,1.0,1.0,1.0,1.0,1.0,1000,1195,0.8368200836820083,1.0,195,805,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,int8,same public cell,residual_norm_nn,2000,2000,0.3975,0.795,1.0,1.0,0.89115,0.9917102499999999,1205,1207,0.555923777961889,0.671,536,793,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,int8,same public cell,gram_quantile_signature_nn,2000,2000,0.164,0.328,0.629,0.785,0.4660851139896406,0.7906955999999999,1672,863,0.2688296639629201,0.232,631,1137,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,int8,same public cell,robust_neighbour_signature_nn,2000,2000,0.143,0.286,0.602,0.774,0.43496912630282486,0.7687849,1714,746,0.2520107238605898,0.188,558,1254,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,int8,same public cell,combined_residual_invariants_nn,2000,2000,0.1685,0.337,0.649,0.808,0.48269118991562415,0.7963339,1663,821,0.2862362971985384,0.235,586,1179,
e5-small,384,96,288,cell_C64,2000,0.5,1000,1000,1000,11,int8,same public cell,combined_prefix_residual_nn,2000,2000,0.4995,0.999,0.999,0.999,0.9990222222222223,0.9986149,1001,1183,0.8444632290786137,0.999,184,817,
e5-small,384,96,288,microkey_perdoc,2000,0.5,1000,1000,1000,11,clean,same public cell,cell_label_chance_control,2000,2000,0.01587713694198251,0.03175427388396502,0.15877136941982511,0.31754273883965023,,0.5,1968.245726116035,,,,,,analytic random choice within the disclosed public cell
