encoder,scheme,n,overlap,condition,linkage_method,runs,top1_precision_mean,top1_precision_std,top1_precision_min,top1_precision_max,top1_recall_mean,top1_recall_std,top1_recall_min,top1_recall_max,top5_recall_mean,top5_recall_std,top5_recall_min,top5_recall_max,top10_recall_mean,top10_recall_std,top10_recall_min,top10_recall_max,mrr_mean,mrr_std,mrr_min,mrr_max,auc_mean,auc_std,auc_min,auc_max,forced_false_matches_mean,forced_false_matches_std,forced_false_matches_min,forced_false_matches_max,mnn_accepted_mean,mnn_accepted_std,mnn_accepted_min,mnn_accepted_max,mnn_precision_mean,mnn_precision_std,mnn_precision_min,mnn_precision_max,mnn_recall_mean,mnn_recall_std,mnn_recall_min,mnn_recall_max,mnn_false_matches_mean,mnn_false_matches_std,mnn_false_matches_min,mnn_false_matches_max,mnn_unmatched_a_mean,mnn_unmatched_a_std,mnn_unmatched_a_min,mnn_unmatched_a_max
e5-base,cell_C64,10000,0.25,clean,cell_label_chance_control,3,0.0015976568631547912,6.193754543643084e-06,0.0015933598653285533,0.0016047565692548374,0.006390627452619165,2.4775018174572337e-05,0.006373439461314213,0.00641902627701935,0.03195313726309582,0.0001238750908728622,0.03186719730657106,0.032095131385096745,0.06390627452619164,0.0002477501817457244,0.06373439461314212,0.06419026277019349,,,,,0.5,0.0,0.5,0.5,9984.02343136845,0.061937545435986514,9983.952434307452,9984.066401346714,,,,,,,,,,,,,,,,,,,,
e5-base,cell_C64,10000,0.25,clean,combined_prefix_residual_nn,3,0.2495333333333333,0.000152752523165193,0.2494,0.2497,0.9981333333333332,0.000611010092660772,0.9976,0.9988,0.9997333333333334,0.00046188021535171385,0.9992,1.0,0.9998666666666667,0.0002309401076758249,0.9996,1.0,0.9988148148148147,0.0004087097030890672,0.9985133333333334,0.99928,0.9996279626666666,0.0005168744291502667,0.9990316319999999,0.999947376,7504.666666666667,1.5275252316519468,7503.0,7506.0,4128.333333333333,31.817186131607134,4108.0,4165.0,0.6039806082090938,0.004713355558050692,0.5985594237695078,0.6071080817916261,0.9973333333333333,0.000230940107675889,0.9972,0.9976,1635.0,32.14031735997639,1614.0,1672.0,5871.666666666667,31.817186131607134,5835.0,5892.0
e5-base,cell_C64,10000,0.25,clean,combined_residual_invariants_nn,3,0.0351,0.0032603680773802208,0.0317,0.0382,0.1404,0.013041472309520883,0.1268,0.1528,0.35053333333333336,0.016440600151251573,0.3348,0.3676,0.4801333333333333,0.01409302427917207,0.4644,0.4916,0.25115649878784546,0.013723896322072137,0.23783769720138412,0.26525246286557397,0.8240377653333333,0.005244733384868707,0.8180731520000001,0.8279282399999999,9649.0,32.60368077380221,9618.0,9683.0,3666.6666666666665,58.07179464536406,3625.0,3733.0,0.0578848023715662,0.005435366254209692,0.05161998901702362,0.061344762925261184,0.08493333333333332,0.00861935805807679,0.0752,0.0916,3454.3333333333335,49.50084174368486,3405.0,3504.0,6333.333333333333,58.07179464536406,6267.0,6375.0
e5-base,cell_C64,10000,0.25,clean,gram_quantile_signature_nn,3,0.033433333333333336,0.00251462389500564,0.0306,0.0354,0.13373333333333334,0.01005849558002256,0.1224,0.1416,0.32613333333333333,0.013794684966802735,0.3112,0.3384,0.4426666666666666,0.010524891131661803,0.436,0.4548,0.23789389121758028,0.011464750246769417,0.22549128042753855,0.2481041780809862,0.807605824,0.0048567546423578505,0.8026798559999999,0.812390272,9665.666666666666,25.146238950056397,9646.0,9694.0,3885.3333333333335,23.072349974229613,3859.0,3902.0,0.05231849130823893,0.004157802705884348,0.04768074630733351,0.05571245186136072,0.08133333333333333,0.006885734044626858,0.0736,0.0868,3682.0,9.643650760992955,3675.0,3693.0,6114.666666666667,23.072349974229613,6098.0,6141.0
e5-base,cell_C64,10000,0.25,clean,public_prefix_nn,3,0.24993333333333334,5.773502691895622e-05,0.2499,0.25,0.9997333333333334,0.0002309401076758249,0.9996,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7500.666666666667,0.5773502691896257,7500.0,7501.0,4058.6666666666665,44.01514890731751,4014.0,4102.0,0.6156837697513357,0.006429235390854802,0.6092150170648464,0.622072745391131,0.9994666666666667,0.000611010092660772,0.9988,1.0,1560.0,43.0,1517.0,1603.0,5941.333333333333,44.0151489073175,5898.0,5986.0
e5-base,cell_C64,10000,0.25,clean,raw_cross_key_cosine_control,3,0.0014,0.0001732050807568878,0.0013,0.0016,0.0056,0.0006928203230275512,0.0052,0.0064,0.030799999999999998,0.0022271057451320095,0.0288,0.0332,0.06106666666666666,0.0036073998022583143,0.0576,0.0648,0.03485491193622079,8.786552214367716e-05,0.03476943689990407,0.034944987215274365,0.49342528,0.0053278422466015345,0.488981216,0.499331552,9986.0,1.7320508075688772,9984.0,9987.0,4619.0,23.643180835073778,4592.0,4636.0,0.001804125475184391,0.00032958386024059424,0.0015099223468507334,0.002160293799956794,0.0033333333333333335,0.0006110100926607787,0.0028,0.004,4610.666666666667,23.62907813126304,4584.0,4629.0,5381.0,23.643180835073778,5364.0,5408.0
e5-base,cell_C64,10000,0.25,clean,residual_norm_nn,3,0.2499,0.00010000000000000286,0.2498,0.25,0.9996,0.00040000000000001146,0.9992,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7501.0,1.0,7500.0,7502.0,5493.333333333333,23.115651263447745,5479.0,5520.0,0.45473793510711924,0.0017585123283033852,0.45271739130434785,0.4559226136156233,0.9992000000000001,0.00040000000000001146,0.9988,0.9996,2995.3333333333335,22.27853974867593,2981.0,3021.0,4506.666666666667,23.115651263447745,4480.0,4521.0
e5-base,cell_C64,10000,0.25,clean,robust_neighbour_signature_nn,3,0.024866666666666665,0.0031069813860616123,0.0214,0.0274,0.09946666666666666,0.01242792554424645,0.0856,0.1096,0.27226666666666666,0.011657329597010354,0.264,0.2856,0.3976,0.009042123644365857,0.39,0.4076,0.19591216897576755,0.011737926914258881,0.18312359176686077,0.20619466384704316,0.7895954933333335,0.004803204430120135,0.784253552,0.7935581760000001,9751.333333333334,31.069813860616115,9726.0,9786.0,3603.0,49.56813492557492,3552.0,3651.0,0.04082940388499495,0.0034514288453411307,0.03697617091207888,0.043637387387387386,0.0588,0.0042332020977033456,0.054,0.062,3456.0,59.50630218724736,3397.0,3516.0,6397.0,49.56813492557492,6349.0,6448.0
e5-base,cell_C64,10000,0.25,fp16,cell_label_chance_control,3,0.0015976568631547912,6.193754543643084e-06,0.0015933598653285533,0.0016047565692548374,0.006390627452619165,2.4775018174572337e-05,0.006373439461314213,0.00641902627701935,0.03195313726309582,0.0001238750908728622,0.03186719730657106,0.032095131385096745,0.06390627452619164,0.0002477501817457244,0.06373439461314212,0.06419026277019349,,,,,0.5,0.0,0.5,0.5,9984.02343136845,0.061937545435986514,9983.952434307452,9984.066401346714,,,,,,,,,,,,,,,,,,,,
e5-base,cell_C64,10000,0.25,fp16,combined_prefix_residual_nn,3,0.24959999999999996,0.0001732050807568847,0.2495,0.2498,0.9983999999999998,0.0006928203230275388,0.998,0.9992,0.9997333333333334,0.00046188021535171385,0.9992,1.0,0.9998666666666667,0.0002309401076758249,0.9996,1.0,0.998948148148148,0.0004616467215016568,0.998651111111111,0.9994799999999999,0.999628,0.0005168658573518032,0.99903168,0.9999474239999999,7504.0,1.7320508075688772,7502.0,7505.0,4128.666666666667,33.231511150312336,4108.0,4167.0,0.6041773140993213,0.005118831536898834,0.5982721382289417,0.6073515092502434,0.9977333333333332,0.00046188021535171385,0.9972,0.998,1634.3333333333333,34.38507428134093,1613.0,1674.0,5871.333333333333,33.231511150312336,5833.0,5892.0
