target_cohort,method,baseline,metric,n_pairs,mean_delta,ci_low,ci_high,interpretation
largest,ols_m16,raw,token_f1,2,-0.029291136744552942,-0.11980676328502421,0.061224489795918324,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m16,raw,token_f1,2,-0.0725925925925926,-0.08592592592592593,-0.05925925925925926,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m16,raw,bleu,2,-0.05299156288499314,-0.1633517994177711,0.05736867364778481,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m16,raw,bleu,2,0.001803276032003396,0.0006538262486991686,0.0029527258153076233,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m16,raw,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m16,raw,geometry_cosine,2,-0.007354706525802612,-0.012210965156555176,-0.002498447895050049,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m16,raw,geometry_cosine,2,-0.008201569318771362,-0.008534908294677734,-0.00786823034286499,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m16,raw,recovered_text_embedding_cosine,2,-0.0015414953231811523,-0.04719918966293335,0.044116199016571045,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m16,raw,recovered_text_embedding_cosine,2,-0.06509757041931152,-0.09531432390213013,-0.03488081693649292,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m8,raw,token_f1,2,-0.015289058767319674,-0.21739130434782616,0.18681318681318682,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m8,raw,token_f1,2,-0.03270655270655272,-0.08592592592592593,0.020512820512820495,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m8,raw,bleu,2,-0.04341360011073328,-0.13481337075850422,0.04798617053703766,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m8,raw,bleu,2,-0.0024487032387314634,-0.007430836844560411,0.002533430367097484,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m8,raw,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m8,raw,geometry_cosine,2,-0.008556962013244629,-0.014333009719848633,-0.002780914306640625,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
