method,m,n_rows,n_runs,n_pii_rows,token_f1_mean,token_f1_ci_low,token_f1_ci_high,bleu_mean,bleu_ci_low,bleu_ci_high,exact_match_mean,exact_match_ci_low,exact_match_ci_high,normalized_exact_match_mean,normalized_exact_match_ci_low,normalized_exact_match_ci_high,pii_recall_mean,pii_recall_ci_low,pii_recall_ci_high,pii_identifier_recall_mean,pii_identifier_recall_ci_low,pii_identifier_recall_ci_high,pii_name_recall_mean,pii_name_recall_ci_low,pii_name_recall_ci_high,pii_email_recall_mean,pii_email_recall_ci_low,pii_email_recall_ci_high,pii_phone_recall_mean,pii_phone_recall_ci_low,pii_phone_recall_ci_high,pii_card_recall_mean,pii_card_recall_ci_low,pii_card_recall_ci_high,geometry_cosine_mean,geometry_cosine_ci_low,geometry_cosine_ci_high,recovered_text_embedding_cosine_mean,recovered_text_embedding_cosine_ci_low,recovered_text_embedding_cosine_ci_high
ols_m16,16,96,8,48,0.42617366341149404,0.34193893447793133,0.5213632985031426,0.1020100493209527,0.06420366715827837,0.1426444407775318,0.0,0.0,0.0,0.0,0.0,0.0,0.33076923076923076,0.25,0.4067796610169492,0.0,0.0,0.0,0.8958333333333334,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9671556912362576,0.9174944709055126,0.9949373894060651,0.8655853221813837,0.7854334572330117,0.9217967159735659
ols_m32,32,96,8,48,0.4237872098284668,0.3569854310218819,0.49283902708664656,0.07576145698166925,0.05504026833858946,0.09541102637917515,0.0,0.0,0.0,0.0,0.0,0.0,0.3230769230769231,0.26661347517730494,0.36923076923076925,0.0,0.0,0.0,0.875,0.7000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9701072325309118,0.92329640397802,0.9959980326704682,0.8615006078034639,0.7618497123631338,0.9218187162342171
ols_m64,64,96,8,48,0.4264541108242051,0.3498640626199044,0.5061241219027861,0.08706068356017517,0.057458405205841195,0.11593168088072837,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.23529411764705882,0.3750512295081964,0.0,0.0,0.0,0.8333333333333334,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9751357678323984,0.9352398763100307,0.9978399995093544,0.8640891363223394,0.7982406152101855,0.914336331980303
ols_m8,8,96,8,48,0.42506503931114886,0.35009831392289703,0.5176696108341197,0.08413341950490888,0.05561293796728377,0.11629174851116798,0.0,0.0,0.0,0.0,0.0,0.0,0.26153846153846155,0.18181818181818182,0.3333333333333333,0.0,0.0,0.0,0.7083333333333334,0.5,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9655343244473139,0.9165165944645802,0.9947998037872215,0.8589055898288885,0.7850172281265259,0.9078430826465288
oracle_residual,,96,8,48,0.5384028725728501,0.40904479301529406,0.6718862823138654,0.16160476894024972,0.10605759442330194,0.22458681403097422,0.0,0.0,0.0,0.0,0.0,0.0,0.2923076923076923,0.22580645161290322,0.3548387096774194,0.0,0.0,0.0,0.7916666666666666,0.5833333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999962747097,0.9999999590218067,1.0000000310440857,0.9167766148845354,0.8952464572774868,0.9392560357848803
prefix_only,,96,8,48,0.41810475612899456,0.34338637254665494,0.5035853951352367,0.08568613155735778,0.054004163984619234,0.11521359141788447,0.0,0.0,0.0,0.0,0.0,0.0,0.2923076923076923,0.2,0.359375,0.0,0.0,0.0,0.7916666666666666,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9636454842984676,0.9122004288559159,0.9940438444415728,0.8599454102416834,0.7812896569880347,0.9148375914432109
procrustes_m32,32,96,8,48,0.3118913040148723,0.21414497787250492,0.4130780411600339,0.05190323452402592,0.03098254391678625,0.07743360056005459,0.0,0.0,0.0,0.0,0.0,0.0,0.24615384615384617,0.13333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9438366126269102,0.859269916297247,0.9917423263813059,0.7820463012903929,0.6414685032020013,0.8926237627243002
procrustes_m64,64,96,8,48,0.3187701375645015,0.22753466015899995,0.40308832598931976,0.0505538492203661,0.029936568016144353,0.07435382540665891,0.0,0.0,0.0,0.0,0.0,0.0,0.25384615384615383,0.15625,0.34109890109890123,0.0,0.0,0.0,0.6875,0.4166666666666667,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.952262278025349,0.8773434936379393,0.9956489312462509,0.7849315144121647,0.6672199993239095,0.8687607784445086
raw,,96,8,48,0.5384028725728501,0.4047031220578724,0.6624637764813487,0.16160476894024972,0.10622891540692012,0.226543576499368,0.0,0.0,0.0,0.0,0.0,0.0,0.2923076923076923,0.22675953079178884,0.3544018817204301,0.0,0.0,0.0,0.7916666666666666,0.5833333333333334,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999838570753,0.9999999615053335,1.0000000074505806,0.9167766148845354,0.8945572790068884,0.9389968524686992
unknown_key,,96,8,48,0.2696234950731725,0.1707414412769252,0.3595673015913577,0.04320091017631108,0.024619594674075866,0.06232315414952888,0.0,0.0,0.0,0.0,0.0,0.0,0.16923076923076924,0.0625,0.2727272727272727,0.0,0.0,0.0,0.4583333333333333,0.16666666666666666,0.8034722222222209,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9309883813063303,0.8365832148430248,0.9882088623009623,0.7388146587181836,0.6005411006393843,0.8589992336928843
