seed,mode,time_ms
0,ct-pt,12745.718199992552
0,ct-pt,13904.318099841475
0,ct-pt,12662.726199952886
0,ct-pt,13437.972399871796
0,ct-pt,13219.35429982841
0,ct-pt,12717.728500021622
0,ct-pt,13560.530100017786
0,ct-pt,13420.919000171125
0,ct-pt,13658.378400141373
0,ct-pt,13202.723699854687
0,ct-ct,19847.693500109017
0,ct-ct,19832.46330008842
0,ct-ct,18645.350399892777
0,ct-ct,19608.55790018104
0,ct-ct,19230.22670019418
0,ct-ct,18894.031499978155
0,ct-ct,18748.65059996955
0,ct-ct,18993.06120001711
0,ct-ct,18113.30209998414
0,ct-ct,19506.778299808502
1,ct-pt,12806.77429982461
1,ct-pt,13404.028299963102
1,ct-pt,13132.303399965167
1,ct-pt,13292.294000042602
1,ct-pt,13298.586199991405
1,ct-pt,13375.115900067613
1,ct-pt,13207.81430019997
1,ct-pt,13694.559500087053
1,ct-pt,13399.318299954757
1,ct-pt,14159.78610003367
1,ct-ct,19938.570899888873
1,ct-ct,19071.790399961174
1,ct-ct,19433.54080012068
1,ct-ct,19054.232700029388
1,ct-ct,19074.79409989901
1,ct-ct,18248.068900080398
1,ct-ct,19273.5049999319
1,ct-ct,19294.190700165927
1,ct-ct,19279.472099849954
1,ct-ct,18795.145299984142
2,ct-pt,13117.24659986794
2,ct-pt,13720.182699849829
2,ct-pt,13326.739700045437
2,ct-pt,13214.182100025937
2,ct-pt,12846.669499995187
2,ct-pt,12814.305699896067
2,ct-pt,13043.991799931973
2,ct-pt,13462.616799864918
2,ct-pt,12934.54400007613
2,ct-pt,13248.352200025693
2,ct-ct,19336.73830004409
2,ct-ct,19274.798600003123
2,ct-ct,18398.742800112814
2,ct-ct,18993.1061998941
2,ct-ct,19897.144600050524
2,ct-ct,19203.779000090435
2,ct-ct,18683.064999990165
2,ct-ct,19411.396600073203
2,ct-ct,18962.95309998095
2,ct-ct,18892.3762999475
3,ct-pt,13380.375200184062
3,ct-pt,13674.08090014942
3,ct-pt,13721.807500114664
3,ct-pt,12992.131999926642
3,ct-pt,12688.616500003263
3,ct-pt,13025.103500112891
3,ct-pt,13590.717299841344
3,ct-pt,13425.000699935481
3,ct-pt,13573.951099999249
3,ct-pt,13124.159999890253
3,ct-ct,18942.73649994284
3,ct-ct,20421.40069999732
3,ct-ct,18940.31609990634
3,ct-ct,18829.25510010682
3,ct-ct,18700.817600125447
3,ct-ct,18445.104899816215
3,ct-ct,18572.21749983728
3,ct-ct,19093.657799996436
3,ct-ct,19515.566600020975
3,ct-ct,18644.64549999684
4,ct-pt,13397.25839998573
4,ct-pt,12393.760000122711
4,ct-pt,13965.912899933755
4,ct-pt,13173.127399990335
4,ct-pt,12840.993700083345
4,ct-pt,13471.383000025526
4,ct-pt,13379.645200213417
4,ct-pt,12900.08300007321
4,ct-pt,13520.016600145027
4,ct-pt,13619.626799831167
4,ct-ct,19372.811800101772
4,ct-ct,19642.40980008617
4,ct-ct,20170.561499893665
4,ct-ct,19657.812299905345
4,ct-ct,19196.573000168428
4,ct-ct,18661.639699945226
4,ct-ct,19153.725599870086
4,ct-ct,19475.798100000247
4,ct-ct,20298.017099965364
4,ct-ct,18025.706300046295
