config,seed,acc1,acc1_ci_lo,acc1_ci_hi,acc10,acc10_ci_lo,acc10_ci_hi,mrr,mrr_ci_lo,mrr_ci_hi,latency_p95_ms
baseline_dense,11,0.7827240000000002,0.746,0.818,0.890592,0.862,0.918,0.8172740404761906,0.7855103174603175,0.8468880952380953,2.2276978492736816
baseline_dense,23,0.7827240000000002,0.746,0.818,0.890592,0.862,0.918,0.8172740404761906,0.7855103174603175,0.8468880952380953,2.2276978492736816
baseline_dense,47,0.7827240000000002,0.746,0.818,0.890592,0.862,0.918,0.8172740404761906,0.7855103174603175,0.8468880952380953,2.2276978492736816
svd_only,11,0.701212,0.662,0.74,0.8413459999999999,0.81,0.872,0.7473390373015872,0.7133619047619048,0.7833380952380952,1.4900174140930176
svd_only,23,0.701212,0.662,0.74,0.8413459999999999,0.81,0.872,0.7473390373015872,0.7133619047619048,0.7833380952380952,1.4900174140930176
svd_only,47,0.701212,0.662,0.74,0.8413459999999999,0.81,0.872,0.7473390373015872,0.7133619047619048,0.7833380952380952,1.4900174140930176
svd_rotation,11,0.701212,0.662,0.74,0.8413459999999999,0.81,0.872,0.7473390373015872,0.7133619047619048,0.7833380952380952,1.3207292556762695
svd_rotation,23,0.701212,0.662,0.74,0.8413459999999999,0.81,0.872,0.7473390373015872,0.7133619047619048,0.7833380952380952,1.3674607276916504
svd_rotation,47,0.701212,0.662,0.74,0.8413459999999999,0.81,0.872,0.7473390373015872,0.7133619047619048,0.7833380952380952,1.3773369789123535
svd_ckks_no_rot,11,0.6992079999999999,0.66,0.74,0.843174,0.812,0.872,0.7472306436507937,0.7126809523809525,0.7818349206349207,297.24556159973145
svd_ckks_no_rot,23,0.701212,0.662,0.74,0.843174,0.812,0.872,0.7482326436507937,0.7135357142857144,0.7830515873015872,293.17826652526855
svd_ckks_no_rot,47,0.701212,0.662,0.74,0.843174,0.812,0.872,0.7482326436507937,0.7135357142857144,0.7830515873015872,293.9834351539612
full,11,0.701212,0.662,0.74,0.841218,0.81,0.872,0.7473515317460317,0.7130650793650793,0.7832015873015873,292.8234815597534
full,23,0.6992079999999999,0.66,0.74,0.8374320000000001,0.808,0.868,0.7460449563492063,0.7116404761904762,0.7819031746031746,294.8257484436035
full,47,0.701212,0.662,0.74,0.8392019999999999,0.808,0.87,0.7472744063492063,0.7129944444444444,0.7829968253968255,295.5903525352478
