rotation_seed,known_pairs,relative_l2_error,mean_cosine_to_projected,target_recall_at_1,target_recall_at_10,rotation_fro_error_per_dim
11,0,1.4113390445709229,0.004636176861822605,0.0,0.0,1.4148015975952148
11,10,1.3399299383163452,0.10244910418987274,0.01,0.05,1.3801867961883545
11,50,1.1083296537399292,0.3849066495895386,0.7575,0.92,1.216819405555725
11,100,0.8677878975868225,0.6231106519699097,1.0,1.0,0.9771921634674072
11,192,2.9121549232513644e-05,1.0,1.0,1.0,3.522456609061919e-05
11,250,8.059757874434581e-07,1.0,1.0,1.0,8.299128921862575e-07
11,500,4.947270895172551e-07,1.0,1.0,1.0,3.4934618042825605e-07
11,1000,4.5592850028697285e-07,1.0,1.0,1.0,2.7279986625217134e-07
11,2000,4.4334916537991376e-07,1.0,1.0,1.0,2.4350208605028456e-07
11,-1,3.7356045368142077e-07,1.0,1.0,1.0,0.0
23,0,1.41517174243927,-0.0013928520493209362,0.0,0.0,1.4149353504180908
23,10,1.3458160161972046,0.09483430534601212,0.0,0.04,1.3805011510849
23,50,1.1111212968826294,0.38202720880508423,0.755,0.9475,1.2131602764129639
23,100,0.862088143825531,0.6274793148040771,1.0,1.0,0.9777978658676147
23,192,2.6523410269874148e-05,1.0,1.0,1.0,3.137514795525931e-05
23,250,8.205635140257073e-07,1.0,1.0,1.0,8.307700340992596e-07
23,500,4.927105123897491e-07,1.0,1.0,1.0,3.496489000553993e-07
23,1000,4.5548196681011177e-07,1.0,1.0,1.0,2.7176784556104394e-07
23,2000,4.423424400101794e-07,1.0,1.0,1.0,2.435803878597653e-07
23,-1,3.7111658457433805e-07,1.0,1.0,1.0,0.0
31,0,1.4249690771102905,-0.015233347192406654,0.0,0.0,1.417352318763733
31,10,1.3398985862731934,0.10209304839372635,0.0,0.0325,1.3754640817642212
31,50,1.1187461614608765,0.3732249438762665,0.725,0.915,1.2209007740020752
31,100,0.8734005093574524,0.6179696321487427,1.0,1.0,0.9826311469078064
31,192,9.320400749857072e-06,1.0,1.0,1.0,1.0838744856300764e-05
31,250,8.014072250261961e-07,1.0,1.0,1.0,8.045110462262528e-07
31,500,4.955231247549818e-07,1.0,1.0,1.0,3.466223859049933e-07
31,1000,4.5870132225900306e-07,1.0,1.0,1.0,2.717754910008807e-07
31,2000,4.4178403868500027e-07,1.0,1.0,1.0,2.4030535428209987e-07
31,-1,3.747499022210832e-07,1.0,1.0,1.0,0.0
47,0,1.4168299436569214,-0.0038470563013106585,0.0,0.0025,1.411177635192871
47,10,1.3447034358978271,0.09583564847707748,0.01,0.0375,1.3781731128692627
47,50,1.1204906702041626,0.37126854062080383,0.68,0.9125,1.2236433029174805
47,100,0.8751720786094666,0.6161316633224487,0.9975,1.0,0.9817060232162476
47,192,8.314867955050431e-06,1.0,1.0,1.0,1.0059778105642181e-05
47,250,8.286407933155715e-07,1.0,1.0,1.0,8.368009503101348e-07
47,500,4.922675316265668e-07,1.0,1.0,1.0,3.4630974710125884e-07
47,1000,4.564431606013386e-07,1.0,1.0,1.0,2.7180448114449973e-07
47,2000,4.4024554313182307e-07,1.0,1.0,1.0,2.406879957561614e-07
47,-1,3.730841058313672e-07,1.0,1.0,1.0,0.0
53,0,1.4173974990844727,-0.00461652921512723,0.0,0.0,1.4137965440750122
53,10,1.346616506576538,0.09394802898168564,0.005,0.0325,1.3818833827972412
53,50,1.1195329427719116,0.37211909890174866,0.695,0.9275,1.2210849523544312
53,100,0.8722732663154602,0.6190006136894226,1.0,1.0,0.9826038479804993
53,192,1.457480902899988e-05,1.0,1.0,1.0,1.776110912032891e-05
53,250,8.22633296593267e-07,1.0,1.0,1.0,8.281716077362944e-07
53,500,4.931336547997489e-07,1.0,1.0,1.0,3.470570959507313e-07
53,1000,4.56462402098623e-07,1.0,1.0,1.0,2.7168383098796767e-07
53,2000,4.4030301182829135e-07,1.0,1.0,1.0,2.4051885816334106e-07
53,-1,3.7401756003418996e-07,1.0,1.0,1.0,0.0
