known_pairs,n_rotation_seeds,relative_l2_error_mean,relative_l2_error_std,mean_cosine_to_projected_mean,mean_cosine_to_projected_std,target_recall_at_1_mean,target_recall_at_1_std,target_recall_at_10_mean,target_recall_at_10_std,rotation_fro_error_per_dim_mean,rotation_fro_error_per_dim_std
-1,5,3.7330572126847984e-07,1.3691872152884503e-09,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,5,1.4171414613723754,0.004974484901744272,-0.004090721579268574,0.0072099099923977885,0.0,0.0,0.0005,0.001118033988749895,1.4144126892089843,0.002231090299877188
10,5,1.3433928966522217,0.003247420816921596,0.09783202707767487,0.004108862617041388,0.005,0.005,0.0385,0.007202430145443967,1.379241704940796,0.002493501044359206
50,5,1.115644145011902,0.005527024476954386,0.37670928835868833,0.00629065260313509,0.7224999999999999,0.03482097069296028,0.9245000000000001,0.014075688260259246,1.2191217422485352,0.004132296212116586
100,5,0.8701443791389465,0.005264699405157973,0.6207383751869202,0.004554544743801808,0.9995,0.001118033988749871,1.0,0.0,0.980386209487915,0.002673996328456049
192,5,1.7571007447259035e-05,9.69905106140926e-06,1.0,0.0,1.0,0.0,1.0,0.0,2.105186922563007e-05,1.1655454718721128e-05
250,5,8.1584412328084e-07,1.1596641439022344e-08,1.0,0.0,1.0,0.0,1.0,0.0,8.260333061116398e-07,1.2462041828454424e-08
500,5,4.936723826176604e-07,1.3898454416966989e-09,1.0,0.0,1.0,0.0,1.0,0.0,3.4779686188812773e-07,1.578653791861254e-09
1000,5,4.5660347041120987e-07,1.240961006149562e-09,1.0,0.0,1.0,0.0,1.0,0.0,2.7196630298931267e-07,4.681343343407158e-10
2000,5,4.4160483980704157e-07,1.3380285440923424e-09,1.0,0.0,1.0,0.0,1.0,0.0,2.4171893642233044e-07,1.6692711734197195e-09
