dataset,split,m,seed,k,ndcg_at_10,mrr_at_10,candidate_recall_at_k,reranked_recall_at_100,delta_ndcg10_vs_projected_exact,delta_ci95_low,delta_ci95_high,pq_search_mean_ms,rerank_p50_ms,code_bytes_per_doc,serialized_index_bytes
arguana,validation,32,42,20,0.36948249067811306,0.31078323764493976,0.6170212765957447,0.6170212765957447,-0.07837001512662714,-0.11101377651973417,-0.04717062219077471,0.02677269537556679,0.0398,32,965782
arguana,validation,32,42,50,0.410562330038701,0.34221687492964087,0.7553191489361702,0.7553191489361702,-0.03729017576603919,-0.06171111268433562,-0.014096995620606553,0.023480851520249185,0.042749999999999996,32,965782
arguana,validation,32,42,100,0.42337477893117337,0.35284532252617357,0.8226950354609929,0.8226950354609929,-0.024477726873566797,-0.04319602992141286,-0.007334979318085666,0.025860638298252796,0.058249999999999996,32,965782
arguana,validation,32,42,200,0.43640442469107665,0.36310086682427106,0.8865248226950354,0.8829787234042553,-0.011448081113663555,-0.02385386048556161,-0.0009573767928378398,0.03611631212584304,0.10455,32,965782
arguana,strict_confirmatory,32,42,20,0.3815608083422304,0.3190945743659267,0.6396797153024911,0.6396797153024911,-0.0602236288474471,-0.07498753194709473,-0.04615423050858543,0.025790080493041403,0.014,32,965782
arguana,strict_confirmatory,32,42,50,0.4100338940460039,0.34025129921482233,0.7669039145907474,0.7669039145907474,-0.03175054314367362,-0.04240585405059663,-0.021258808002946796,0.0228047363836255,0.039,32,965782
arguana,strict_confirmatory,32,42,100,0.4226793243568098,0.3485344998022934,0.8416370106761566,0.8416370106761566,-0.019105112832867584,-0.02767665018673062,-0.010845632738115717,0.02373092045459873,0.0354,32,965782
arguana,strict_confirmatory,32,42,200,0.43459250024720164,0.358419476924815,0.8941281138790036,0.891459074733096,-0.00719193694247581,-0.012429723762468831,-0.002493011646313071,0.025388382298670464,0.07,32,965782
arguana,validation,48,42,20,0.4152612817546674,0.3477836879432624,0.6843971631205674,0.6843971631205674,-0.03259122405007279,-0.05796482195559116,-0.0076991599653609185,0.03582765909691229,0.0144,48,1104566
arguana,validation,48,42,50,0.4330034234872038,0.3600965327029157,0.7943262411347518,0.7943262411347518,-0.014849082317536457,-0.03510129813103835,0.004001497375415506,0.04485815661094079,0.0196,48,1104566
arguana,validation,48,42,100,0.4334373360449248,0.35931836091410563,0.8652482269503546,0.8652482269503546,-0.014415169759815346,-0.03201708989567915,0.0011694332560586549,0.04017021232912092,0.05265,48,1104566
arguana,validation,48,42,200,0.44447983827099186,0.36734492851514133,0.9148936170212766,0.9148936170212766,-0.003372667533748292,-0.015730508865843304,0.006959714406881276,0.041450354838677754,0.0599,48,1104566
arguana,strict_confirmatory,48,42,20,0.40851595835007515,0.3423226289329492,0.6725978647686833,0.6725978647686833,-0.03326847883960233,-0.04604243006023545,-0.021053722503023356,0.037318498805045446,0.0119,48,1104566
arguana,strict_confirmatory,48,42,50,0.43006180948698236,0.35526217307800934,0.8113879003558719,0.8113879003558719,-0.011722627702695127,-0.01950725055789958,-0.004438314238132697,0.03860241290717864,0.017,48,1104566
arguana,strict_confirmatory,48,42,100,0.43664782240846184,0.35958806416991473,0.8665480427046264,0.8665480427046264,-0.005136614781215626,-0.010850929000206691,-9.076518356196591e-05,0.039718856026316134,0.0355,48,1104566
arguana,strict_confirmatory,48,42,200,0.4414248040265268,0.36392701801954475,0.9145907473309609,0.9128113879003559,-0.00035963316315074204,-0.0024556791338640215,0.0016640374793262483,0.04382100092768137,0.0592,48,1104566
arguana,validation,84,42,20,0.440135274314259,0.36690588765056853,0.7446808510638298,0.7446808510638298,-0.007717231490481188,-0.02300339987873857,0.00709585552854975,0.08533794287565752,0.0126,84,1416830
arguana,validation,84,42,50,0.4469769000118961,0.3704787234042553,0.8546099290780141,0.8546099290780141,-0.0008756057928440733,-0.009665519107696006,0.007496947655863761,0.07579503547902225,0.0206,84,1416830
arguana,validation,84,42,100,0.4474346422636028,0.3709698300123832,0.8900709219858156,0.8900709219858156,-0.00041786354113734374,-0.005858664611339202,0.004511627351224767,0.08190602827024587,0.0336,84,1416830
arguana,validation,84,42,200,0.44714693841347763,0.3706588427333108,0.950354609929078,0.950354609929078,-0.000705567391262478,-0.005319148936170213,0.0032024467623827787,0.07170921931347103,0.0664,84,1416830
arguana,strict_confirmatory,84,42,20,0.42618577707376076,0.35522051347229283,0.7206405693950177,0.7206405693950177,-0.015598660115916697,-0.02360202095881347,-0.007996334733799912,0.06164691678953288,0.0132,84,1416830
