dataset,dimension,method,split,ndcg_at_10,recall_at_100,mrr_at_10,exact_total_ms
arguana,384,svd,validation,0.43124434984519877,0.9397163120567376,0.3497495215580322,91.5865998249501
arguana,384,svd,strict_confirmatory,0.43143805498714616,0.9483985765124555,0.3517691210529289,92.97989984042943
arguana,384,random,validation,0.26720385465045704,0.7695035460992907,0.21328942924687602,28.387200087308884
arguana,384,random,strict_confirmatory,0.2556068983243699,0.7366548042704626,0.20828355363497714,87.16310001909733
arguana,384,coordinate,validation,0.3318039490245208,0.851063829787234,0.2638649667904987,19.411900080740452
arguana,384,coordinate,strict_confirmatory,0.3051272587797627,0.8309608540925267,0.24580579562785973,60.93419995158911
arguana,672,svd,validation,0.4478525058047401,0.9468085106382979,0.37144686479792866,38.80289988592267
arguana,672,svd,strict_confirmatory,0.44178443718967747,0.951067615658363,0.36396338191267014,111.21440003626049
arguana,672,random,validation,0.4287887198410419,0.9326241134751773,0.3531000225149161,34.57490005530417
arguana,672,random,strict_confirmatory,0.4220284740761889,0.9421708185053381,0.3445274106083715,90.35119996406138
arguana,672,coordinate,validation,0.43486031846698225,0.9468085106382979,0.36159236744343126,29.086700174957514
arguana,672,coordinate,strict_confirmatory,0.4140575076971439,0.9386120996441281,0.3406375331864656,101.7537999432534
fiqa,384,svd,validation,0.374747159132126,0.7041072483072482,0.4557293650793651,592.3400002066046
fiqa,384,svd,strict_confirmatory,0.3686520387102437,0.7023551851098148,0.4424480697628846,235.51759985275567
fiqa,384,random,validation,0.20907733056080907,0.4843890442890442,0.2654611111111111,139.9121000431478
fiqa,384,random,strict_confirmatory,0.19258927343296134,0.49794430963412445,0.2564784195571233,233.68159984238446
fiqa,384,coordinate,validation,0.22088892736430168,0.49912091242091244,0.27696031746031746,157.4479998089373
fiqa,384,coordinate,strict_confirmatory,0.21876023807245884,0.48711927647112824,0.27549848128551835,235.8544000890106
fiqa,672,svd,validation,0.3936099161033406,0.7166555389055388,0.47218253968253965,271.64129982702434
fiqa,672,svd,strict_confirmatory,0.3801191211438288,0.7011102066657622,0.4564937291789143,399.27690010517836
fiqa,672,random,validation,0.3640863171419311,0.6856128038628038,0.4357634920634921,287.9401999525726
fiqa,672,random,strict_confirmatory,0.34572545523952974,0.6797520038260778,0.4224285959239663,393.20859988220036
fiqa,672,coordinate,validation,0.3685710668675063,0.6668785547785548,0.4417579365079365,246.59479991532862
fiqa,672,coordinate,strict_confirmatory,0.36268803276747397,0.662451056316797,0.4423672349598276,378.56739992275834
nfcorpus,384,svd,validation,0.30718167190540296,0.29002561663347814,0.507809131883206,42.01680002734065
nfcorpus,384,svd,strict_confirmatory,0.3229692466844458,0.2921942491785949,0.5096528084918177,11.59029989503324
nfcorpus,384,random,validation,0.2049439184993565,0.2286278354827855,0.3901320301783264,16.089699929580092
nfcorpus,384,random,strict_confirmatory,0.2210993848992597,0.23321880580750529,0.37422354906875027,11.546199908480048
nfcorpus,384,coordinate,validation,0.21987846671469827,0.21826965779329607,0.41583872232020375,12.086099945008755
nfcorpus,384,coordinate,strict_confirmatory,0.2418338345818631,0.24075943377040956,0.42349624060150376,10.233699809759855
nfcorpus,672,svd,validation,0.3099246189738461,0.2888585250242892,0.5066174309229865,15.83270006813109
nfcorpus,672,svd,strict_confirmatory,0.3270303152080331,0.28653637606522003,0.5207467197405278,17.886999994516373
nfcorpus,672,random,validation,0.2968037343302736,0.2747747266105618,0.5029027042915932,15.721900155767798
nfcorpus,672,random,strict_confirmatory,0.3116143515914278,0.2773757936681922,0.5072583419332646,15.415799804031849
nfcorpus,672,coordinate,validation,0.2924420710508703,0.27479577412532075,0.48712277091906725,14.391700038686395
nfcorpus,672,coordinate,strict_confirmatory,0.30484846377696756,0.2753519766611967,0.49128826969384254,15.272099990397692
scidocs,384,svd,validation,0.19527033469008953,0.43516666666666665,0.3459761904761905,233.94809989258647
scidocs,384,svd,strict_confirmatory,0.16278031951878738,0.3894583333333334,0.29954017857142856,127.46150000020862
scidocs,384,random,validation,0.11097220155333903,0.30183333333333334,0.20973214285714284,58.24230005964637
scidocs,384,random,strict_confirmatory,0.1001319140806129,0.28166666666666673,0.1832996031746032,177.81609995290637
scidocs,384,coordinate,validation,0.1238001614367398,0.3213333333333334,0.2123075396825397,32.08089992403984
scidocs,384,coordinate,strict_confirmatory,0.10924729125047217,0.27229166666666665,0.20880902777777777,116.68079998344183
scidocs,672,svd,validation,0.19908737317230332,0.4305833333333333,0.3431329365079365,63.41330008581281
scidocs,672,svd,strict_confirmatory,0.1661400589177412,0.3920625,0.3061979166666667,233.5421999450773
scidocs,672,random,validation,0.18358832608052184,0.4168333333333334,0.32858333333333334,93.36240007542074
scidocs,672,random,strict_confirmatory,0.15772055613041566,0.3712708333333333,0.29140625,290.2615999337286
scidocs,672,coordinate,validation,0.18689930292343138,0.4081666666666667,0.3212222222222222,58.43790015205741
scidocs,672,coordinate,strict_confirmatory,0.15762858995554768,0.36064583333333333,0.29261656746031744,222.67880011349916
scifact,384,svd,validation,0.7003368223447445,0.9478780387309436,0.6686061569250692,301.0952998884022
scifact,384,svd,strict_confirmatory,0.6884605975607327,0.936,0.6564510582010581,14.72239987924695
scifact,384,random,validation,0.5176189859182876,0.830655129789864,0.48102350540545846,38.658699952065945
scifact,384,random,strict_confirmatory,0.5529514410762768,0.8405555555555555,0.5203703703703703,13.63219995982945
scifact,384,coordinate,validation,0.5406715334688129,0.8599093531108365,0.5075710754017305,31.538299983367324
scifact,384,coordinate,strict_confirmatory,0.532447172675688,0.850111111111111,0.49771164021164016,13.636100105941296
scifact,672,svd,validation,0.6997858179497075,0.9484960857025134,0.6668452135695646,46.3958999607712
scifact,672,svd,strict_confirmatory,0.6967798515468028,0.936,0.6666931216931217,20.359700080007315
scifact,672,random,validation,0.6819723290689396,0.9262463947259991,0.6498523554456807,48.41900011524558
scifact,672,random,strict_confirmatory,0.6769668627017273,0.9193333333333333,0.646271164021164,18.679199973121285
scifact,672,coordinate,validation,0.6825905610059126,0.930778739184178,0.6521332430788549,48.34360000677407
scifact,672,coordinate,strict_confirmatory,0.6619466001662935,0.9186666666666667,0.630297619047619,18.780099926516414
trec-covid,384,svd,validation,0.7012908483199594,0.14431415387437357,0.8400000000000001,1415.8044999931008
trec-covid,384,svd,strict_confirmatory,0.6722003367867855,0.1235411511448983,0.9091666666666665,191.85429997742176
trec-covid,384,random,validation,0.37226071038398034,0.06526573709937766,0.6642857142857143,199.13909980095923
trec-covid,384,random,strict_confirmatory,0.48985683738928143,0.0833599011790633,0.7224999999999999,112.56149993278086
trec-covid,384,coordinate,validation,0.29966839453379174,0.053870245532271634,0.611111111111111,128.20939999073744
trec-covid,384,coordinate,strict_confirmatory,0.43017166476483604,0.06904841901224135,0.6434722222222222,145.76680003665388
trec-covid,672,svd,validation,0.6929959629404109,0.14575446446577026,0.8416666666666668,203.11539992690086
trec-covid,672,svd,strict_confirmatory,0.686702869521442,0.12068806462570669,0.8841666666666667,160.1016002241522
trec-covid,672,random,validation,0.6410265089362424,0.12258442749040976,0.8533333333333333,186.31069990806282
trec-covid,672,random,strict_confirmatory,0.6519930889311455,0.1080966325469797,0.8604166666666666,209.16570001281798
trec-covid,672,coordinate,validation,0.6753913790315467,0.12962202450125987,0.8392857142857142,254.67070005834103
trec-covid,672,coordinate,strict_confirmatory,0.6612256942876897,0.11313249698969177,0.7952380952380952,229.65760016813874
